type_features,accuracy
['CF'],88.51
['rappA/G'],83.48
"['rappA/G', 'CF']",92.82
['der'],92.1
"['der', 'CF']",95.69
"['der', 'rappA/G']",93.54
"['der', 'rappA/G', 'CF']",95.87
['TF'],83.84
"['TF', 'CF']",93.18
"['TF', 'rappA/G']",91.74
"['TF', 'rappA/G', 'CF']",95.33
"['TF', 'der']",94.25
"['TF', 'der', 'CF']",96.23
"['TF', 'der', 'rappA/G']",94.25
"['TF', 'der', 'rappA/G', 'CF']",97.13
['Ampiezza_Media'],95.91
"['Ampiezza_Media', 'CF']",97.49
"['Ampiezza_Media', 'rappA/G']",94.79
"['Ampiezza_Media', 'rappA/G', 'CF']",97.31
"['Ampiezza_Media', 'der']",96.05
"['Ampiezza_Media', 'der', 'CF']",97.13
"['Ampiezza_Media', 'der', 'rappA/G']",95.15
"['Ampiezza_Media', 'der', 'rappA/G', 'CF']",97.31
"['Ampiezza_Media', 'TF']",95.33
"['Ampiezza_Media', 'TF', 'CF']",98.38
"['Ampiezza_Media', 'TF', 'rappA/G']",95.51
"['Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.2
"['Ampiezza_Media', 'TF', 'der']",95.51
"['Ampiezza_Media', 'TF', 'der', 'CF']",97.49
"['Ampiezza_Media', 'TF', 'der', 'rappA/G']",95.87
"['Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",97.67
['Minima_Ampiezza'],93.61
"['Minima_Ampiezza', 'CF']",96.05
"['Minima_Ampiezza', 'rappA/G']",95.69
"['Minima_Ampiezza', 'rappA/G', 'CF']",96.41
"['Minima_Ampiezza', 'der']",96.41
"['Minima_Ampiezza', 'der', 'CF']",97.31
"['Minima_Ampiezza', 'der', 'rappA/G']",96.23
"['Minima_Ampiezza', 'der', 'rappA/G', 'CF']",96.59
"['Minima_Ampiezza', 'TF']",93.36
"['Minima_Ampiezza', 'TF', 'CF']",96.95
"['Minima_Ampiezza', 'TF', 'rappA/G']",95.33
"['Minima_Ampiezza', 'TF', 'rappA/G', 'CF']",96.95
"['Minima_Ampiezza', 'TF', 'der']",96.41
"['Minima_Ampiezza', 'TF', 'der', 'CF']",97.67
"['Minima_Ampiezza', 'TF', 'der', 'rappA/G']",96.05
"['Minima_Ampiezza', 'TF', 'der', 'rappA/G', 'CF']",97.85
"['Minima_Ampiezza', 'Ampiezza_Media']",96.63
"['Minima_Ampiezza', 'Ampiezza_Media', 'CF']",97.49
"['Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G']",97.49
"['Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G', 'CF']",97.31
"['Minima_Ampiezza', 'Ampiezza_Media', 'der']",96.95
"['Minima_Ampiezza', 'Ampiezza_Media', 'der', 'CF']",96.95
"['Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G']",97.49
"['Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",96.95
"['Minima_Ampiezza', 'Ampiezza_Media', 'TF']",97.13
"['Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'CF']",98.03
"['Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G']",97.49
"['Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",97.13
"['Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der']",96.95
"['Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'CF']",97.31
"['Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",96.77
