Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
2.21, -79.81, 640, -16374, -2884 , -814, 1310, -97
2.43, -79.77, 704, -16356, -2878 , -822, 1386, -83
2.40, -80.40, 696, -16408, -2700 , -834, 1495, -77
2.39, -79.90, 696, -16460, -2860 , -822, 1624, -53
2.14, -80.35, 624, -16506, -2748 , -783, 1697, -50
2.59, -79.69, 760, -16560, -2928 , -770, 1744, -46
3.28, -79.20, 964, -16574, -3024 , -752, 1877, -36
3.50, -78.74, 1020, -16382, -3112 , -762, 2035, -19
4.12, -78.95, 1196, -16340, -2970 , -723, 2279, -8
3.79, -79.57, 1096, -16302, -2806 , -759, 2511, 7
3.57, -79.93, 1032, -16324, -2722 , -818, 2683, 27
3.15, -80.00, 916, -16440, -2762 , -876, 2830, 89
3.01, -79.74, 876, -16424, -2854 , -900, 2970, 137
2.63, -79.68, 766, -16452, -2908 , -917, 3118, 173
2.72, -79.37, 796, -16488, -3002 , -918, 3355, 216
3.07, -79.46, 896, -16478, -2946 , -884, 3564, 234
2.75, -79.95, 806, -16530, -2828 , -839, 3744, 273
2.12, -80.39, 622, -16612, -2754 , -826, 3869, 279
1.83, -79.64, 538, -16586, -2996 , -773, 3983, 290
0.88, -79.47, 260, -16596, -3086 , -743, 4032, 300
0.80, -78.87, 234, -16542, -3258 , -684, 4065, 330
0.36, -79.01, 106, -16564, -3228 , -613, 4057, 326
-0.26, -79.45, -76, -16562, -3096 , -596, 3952, 327
-0.62, -79.84, -180, -16318, -2930 , -615, 3807, 278
0.75, -80.18, 216, -16242, -2816 , -730, 3832, 247
0.70, -79.91, 200, -16042, -2860 , -825, 3911, 177
0.55, -79.98, 156, -15904, -2816 , -899, 4016, 77
1.19, -79.91, 332, -15792, -2802 , -943, 4021, 64
-1.19, -81.03, -340, -16228, -2552 , -1003, 4112, -202
0.38, -79.61, 108, -16128, -2968 , -1096, 4001, -171
0.50, -79.77, 146, -16364, -2962 , -1063, 4118, -387
0.87, -79.65, 254, -16404, -2996 , -1005, 4126, -485
0.71, -81.27, 204, -16224, -2496 , -993, 4124, -591
0.44, -82.57, 124, -16050, -2100 , -1195, 4156, -685
0.59, -81.43, 168, -16172, -2444 , -1375, 4198, -761
0.77, -80.88, 220, -16272, -2616 , -1372, 4216, -795
0.45, -80.91, 128, -16242, -2606 , -1316, 4207, -831
-0.17, -81.55, -48, -16196, -2418 , -1253, 4197, -876
-0.82, -81.61, -236, -16252, -2396 , -1237, 4164, -914
-1.26, -81.74, -362, -16296, -2350 , -1232, 4117, -976
-1.39, -81.26, -402, -16386, -2500 , -1217, 4091, -1012
-0.72, -82.17, -208, -16472, -2268 , -1229, 4077, -1064
-1.05, -81.82, -304, -16482, -2362 , -1269, 4012, -1109
