Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
1.64, -85.18, 476, -16544, -1324 , 26, 361, 62
1.49, -85.01, 434, -16584, -1394 , 12, 376, 49
1.44, -85.05, 416, -16534, -1382 , -1, 413, 66
1.56, -84.79, 452, -16554, -1452 , -12, 427, 61
1.75, -84.91, 508, -16552, -1396 , -23, 446, 75
2.00, -84.65, 580, -16572, -1452 , -24, 481, 78
2.37, -84.57, 686, -16490, -1422 , 5, 497, 93
2.45, -84.25, 710, -16514, -1516 , -34, 519, 110
2.53, -84.31, 730, -16494, -1486 , -25, 554, 121
2.90, -84.32, 838, -16470, -1422 , -10, 588, 131
2.62, -84.57, 758, -16494, -1386 , 8, 627, 138
2.54, -84.17, 738, -16546, -1534 , 11, 701, 148
2.75, -83.94, 800, -16602, -1586 , 49, 804, 124
2.82, -83.76, 826, -16674, -1640 , 100, 889, 119
3.09, -83.90, 908, -16732, -1556 , 133, 976, 119
3.01, -84.00, 884, -16724, -1534 , 122, 1036, 131
3.09, -83.54, 908, -16730, -1678 , 121, 1163, 126
2.93, -83.63, 864, -16778, -1676 , 165, 1285, 141
3.10, -83.45, 920, -16882, -1722 , 189, 1386, 161
3.11, -83.77, 920, -16870, -1610 , 212, 1465, 179
2.99, -83.70, 882, -16820, -1650 , 231, 1562, 190
2.79, -83.90, 818, -16708, -1600 , 264, 1643, 238
2.49, -84.12, 726, -16630, -1564 , 288, 1714, 265
2.35, -84.06, 682, -16516, -1592 , 287, 1774, 302
2.42, -84.22, 696, -16440, -1524 , 277, 1835, 320
2.33, -83.84, 672, -16448, -1656 , 281, 1879, 335
2.62, -83.36, 760, -16490, -1776 , 305, 1930, 370
2.66, -83.51, 770, -16516, -1726 , 322, 1931, 380
2.79, -83.92, 806, -16454, -1570 , 343, 1914, 399
2.89, -84.05, 836, -16514, -1518 , 297, 1916, 438
2.92, -84.22, 848, -16582, -1462 , 269, 1926, 473
2.78, -84.13, 810, -16620, -1520 , 244, 1970, 518
3.20, -83.80, 932, -16610, -1558 , 229, 2010, 559
3.60, -83.44, 1050, -16638, -1614 , 237, 2061, 600
3.64, -82.92, 1068, -16714, -1796 , 259, 2113, 635
3.87, -83.02, 1142, -16806, -1728 , 296, 2166, 674
4.32, -82.29, 1280, -16850, -1904 , 356, 2238, 709
4.54, -82.64, 1350, -16914, -1732 , 449, 2353, 735
4.82, -82.21, 1426, -16838, -1826 , 476, 2498, 760
4.92, -82.60, 1458, -16864, -1652 , 557, 2637, 761
4.88, -82.92, 1450, -16936, -1540 , 576, 2792, 795
4.83, -83.78, 1436, -16972, -1186 , 579, 2915, 814
5.00, -83.95, 1496, -17078, -1040 , 525, 3044, 867
5.47, -84.06, 1652, -17238, -730 , 432, 3203, 921
5.79, -83.95, 1778, -17536, -582 , 316, 3340, 989
5.95, -83.92, 1856, -17818, -462 , 105, 3466, 1113
5.80, -83.89, 1858, -18284, -658 , -25, 3479, 1242
5.61, -83.70, 1834, -18642, -964 , -56, 3314, 1389
5.89, -82.25, 1952, -18860, -1688 , 59, 3112, 1534
6.46, -80.59, 2162, -18968, -2300 , 298, 3033, 1689
7.62, -78.90, 2536, -18768, -2690 , 713, 3074, 1858
8.77, -77.69, 2896, -18572, -2854 , 1127, 3292, 2046
10.04, -76.85, 3280, -18320, -2770 , 1553, 3606, 2270
10.60, -76.68, 3384, -17910, -2574 , 1997, 4040, 2450
10.73, -76.74, 3340, -17474, -2430 , 2424, 4600, 2640
10.44, -77.22, 3170, -17074, -2248 , 2964, 4997, 2876
9.73, -78.47, 2858, -16584, -1830 , 3423, 5260, 3082
8.32, -80.40, 2386, -16258, -1392 , 3773, 5305, 3318
7.75, -80.92, 2176, -15932, -1342 , 4058, 5246, 3564
5.88, -82.28, 1628, -15766, -1402 , 4317, 5160, 3820
3.96, -83.47, 1086, -15622, -1434 , 4556, 5066, 4118
2.00, -84.50, 544, -15508, -1404 , 4876, 4975, 4392
0.73, -84.73, 198, -15390, -1418 , 5164, 5012, 4622
-1.05, -85.34, -282, -15350, -1232 , 5411, 5242, 4886
-1.76, -86.21, -474, -15388, -916 , 5642, 5545, 5113
-3.38, -85.58, -926, -15644, -796 , 5780, 5927, 5242
-3.74, -85.68, -1046, -15988, -626 , 5764, 6337, 5317
-4.22, -85.56, -1186, -16086, -432 , 5589, 6773, 5136
-3.45, -86.47, -970, -16086, -260 , 5181, 7078, 4802
-0.40, -89.33, -112, -16070, -166 , 4812, 7361, 4406
1.38, -88.58, 384, -15960, 136 , 4563, 7477, 4030
2.35, -87.68, 652, -15902, 76 , 4429, 7593, 3504
3.14, -86.89, 872, -15902, -98 , 4510, 7786, 3030
4.02, -86.00, 1116, -15882, -134 , 4644, 8287, 2496
4.79, -85.19, 1312, -15662, -220 , 4813, 8978, 1926
6.09, -83.93, 1664, -15598, -136 , 4888, 9749, 1260
7.80, -82.24, 2156, -15738, -84 , 4966, 10707, 777
8.21, -81.84, 2266, -15718, 14 , 5024, 11806, 280
8.45, -81.58, 2326, -15658, 124 , 5124, 12606, -326
8.12, -81.85, 2240, -15698, 288 , 5330, 13219, -869
8.05, -81.78, 2204, -15576, 512 , 5533, 13643, -1340
7.53, -81.74, 2060, -15554, 954 , 5662, 14000, -1735
7.19, -81.55, 1944, -15376, 1222 , 5654, 14431, -2005
5.46, -82.76, 1476, -15400, 1300 , 5494, 15217, -2131
2.92, -84.14, 786, -15362, 1380 , 5225, 15893, -2197
-0.23, -84.28, -62, -15340, 1546 , 4803, 16369, -2214
-3.07, -83.61, -818, -15202, 1506 , 4324, 16725, -2205
-5.91, -82.50, -1560, -15024, 1236 , 3876, 16871, -2147
-8.70, -80.07, -2236, -14572, 1248 , 3321, 16600, -2086
-9.79, -78.77, -2472, -14260, 1400 , 2748, 16082, -1947
-10.57, -78.01, -2582, -13768, 1392 , 1982, 15546, -1869
-11.22, -77.72, -2650, -13312, 1198 , 1276, 14906, -1798
-10.00, -79.48, -2254, -12766, 764 , 471, 14543, -1699
-9.27, -80.52, -2014, -12342, 480 , -81, 14241, -1607
-8.84, -81.10, -1844, -11856, 286 , -552, 14072, -1471
-8.38, -80.35, -1700, -11498, 984 , -1012, 13878, -1422
-8.21, -77.74, -1770, -12114, 1960 , -1557, 13665, -1478
-7.64, -76.51, -1764, -12902, 2554 , -2224, 13481, -1508
-8.99, -75.82, -2260, -14020, 2740 , -2879, 12893, -1516
-10.66, -76.80, -2962, -15588, 2164 , -3229, 12244, -1388
-10.32, -79.03, -3278, -17970, 1218 , -3253, 11557, -1127
-9.37, -80.60, -3262, -19776, 418 , -2940, 10754, -656
-8.94, -81.10, -3304, -21006, 96 , -2434, 9887, 165
-9.45, -80.57, -3634, -21836, 268 , -1987, 8884, 1005
-10.45, -79.54, -4124, -22358, 414 , -1601, 8238, 1801
-11.07, -78.86, -4396, -22478, 654 , -1357, 8157, 2678
-11.12, -78.86, -4284, -21798, 468 , -997, 8210, 3367
-10.31, -79.65, -3726, -20478, -474 , -593, 8703, 3836
-8.38, -81.47, -2798, -18996, -614 , -257, 9324, 4011
-5.56, -84.48, -1684, -17320, -90 , -86, 9528, 3921
-2.07, -86.79, -580, -16008, 700 , -67, 9348, 3597
0.59, -83.59, 156, -15090, 1700 , -161, 8568, 3096
4.38, -79.28, 1122, -14442, 2504 , -451, 8015, 2623
7.08, -78.35, 1788, -14214, 2336 , -873, 8093, 1960
8.08, -78.45, 2046, -14274, 2094 , -1230, 8384, 1554
7.15, -81.62, 1854, -14736, 1148 , -1537, 8896, 1262
5.00, -85.00, 1356, -15520, 194 , -1805, 9447, 1040
2.98, -86.68, 854, -16412, -446 , -1986, 9734, 1100
-0.64, -85.14, -196, -17418, -1482 , -1988, 10072, 884
-0.55, -83.94, -172, -17670, -1880 , -1858, 10238, 714
-0.12, -84.67, -36, -17618, -1656 , -1471, 9911, 852
-2.35, -84.01, -744, -18074, -1758 , -1043, 9899, 660
-1.38, -85.21, -430, -17766, -1440 , -654, 9931, 686
-1.00, -85.92, -310, -17646, -1234 , -363, 10076, 765
-2.12, -85.99, -644, -17352, -1046 , -213, 10215, 870
-2.31, -86.21, -682, -16894, -902 , -206, 10535, 988
-3.01, -86.71, -864, -16412, -408 , -289, 10727, 1152
-4.74, -85.13, -1342, -16200, -376 , -589, 10838, 1292
-5.87, -83.74, -1660, -16142, -650 , -874, 10890, 1373
-6.92, -82.05, -2004, -16488, -1156 , -1077, 10886, 1403
-6.83, -81.55, -2036, -16932, -1498 , -1302, 11101, 1392
-6.29, -81.10, -1898, -17124, -1912 , -1416, 11516, 1334
-6.42, -80.15, -1968, -17336, -2294 , -1402, 11917, 1210
-6.20, -79.90, -1908, -17412, -2462 , -1242, 12287, 1083
-6.13, -81.02, -1872, -17320, -2016 , -1069, 12728, 994
-7.38, -80.79, -2222, -17090, -1676 , -1010, 13076, 827
-7.41, -81.00, -2212, -16952, -1542 , -1058, 13514, 703
-6.76, -81.14, -2018, -16952, -1724 , -1061, 13909, 583
-7.20, -80.58, -2162, -17026, -1836 , -1023, 14199, 479
-7.61, -79.98, -2268, -16882, -1956 , -939, 14375, 384
-7.43, -79.47, -2214, -16842, -2232 , -847, 14474, 367
-8.04, -78.48, -2394, -16782, -2460 , -781, 14593, 352
-8.70, -77.97, -2586, -16718, -2470 , -770, 14639, 349
