Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-5.28, -84.44, -1512, -16354, -538 , -810, 215, -2625
-4.69, -85.20, -1338, -16330, -354 , -771, 208, -2709
-4.03, -85.98, -1158, -16464, -174 , -743, 306, -2755
-3.93, -86.08, -1142, -16644, -162 , -707, 478, -2809
-3.47, -86.57, -1024, -16906, -74 , -656, 689, -2857
-3.63, -86.37, -1084, -17078, -166 , -640, 936, -2875
-4.08, -85.92, -1220, -17110, -190 , -594, 1182, -2919
-4.55, -85.17, -1370, -17208, -522 , -412, 1394, -2937
-4.71, -84.93, -1414, -17166, -600 , -220, 1620, -2933
-4.80, -84.67, -1448, -17226, -730 , -61, 1763, -2889
-4.40, -84.87, -1332, -17282, -822 , 63, 1892, -2844
-3.94, -85.11, -1188, -17254, -896 , 162, 2044, -2789
-3.65, -85.36, -1098, -17192, -884 , 225, 2129, -2732
-2.82, -86.43, -842, -17094, -678 , 303, 2164, -2654
-2.55, -87.02, -764, -17184, -490 , 439, 2314, -2523
-2.56, -87.04, -776, -17360, -476 , 497, 2514, -2358
-2.91, -86.59, -894, -17568, -568 , 558, 2770, -2242
-3.50, -85.99, -1080, -17646, -632 , 627, 3018, -2175
-4.46, -85.24, -1392, -17832, -556 , 652, 3232, -2213
-5.00, -84.69, -1566, -17902, -602 , 683, 3344, -2282
-5.02, -84.08, -1576, -17920, -1008 , 848, 3457, -2318
-4.85, -84.28, -1532, -18050, -984 , 1090, 3449, -2294
-4.49, -84.81, -1444, -18372, -862 , 1313, 3345, -2218
-4.08, -85.75, -1352, -18972, -446 , 1389, 3003, -2093
-4.38, -85.63, -1496, -19522, -176 , 1372, 2700, -1952
-4.50, -85.51, -1578, -20080, -216 , 1314, 2422, -1778
-4.78, -85.24, -1748, -20904, -174 , 1267, 2127, -1629
-5.39, -84.65, -2016, -21366, 8 , 1170, 1811, -1503
-5.98, -83.98, -2286, -21814, 374 , 1044, 1582, -1405
-5.88, -83.57, -2290, -22214, 1050 , 826, 1515, -1336
-5.76, -83.08, -2288, -22644, 1554 , 577, 1738, -1316
-5.66, -82.74, -2294, -23100, 1870 , 338, 2201, -1429
-4.75, -83.82, -1974, -23686, 1666 , 169, 2564, -1357
-4.22, -84.84, -1796, -24314, 1296 , 246, 2799, -1232
