Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-0.34, -84.43, -98, -16488, -1618 , -88, 195, 133
-0.04, -84.11, -12, -16508, -1716 , -61, 212, 115
0.15, -84.45, 42, -16440, -1608 , -42, 241, 88
0.10, -84.03, 30, -16428, -1730 , -37, 293, 57
0.78, -83.95, 224, -16424, -1738 , -40, 359, 10
1.03, -84.12, 296, -16430, -1678 , -48, 447, -32
1.28, -84.20, 368, -16382, -1634 , -41, 513, -66
1.44, -84.36, 414, -16384, -1576 , -55, 580, -104
1.05, -84.52, 300, -16380, -1556 , -59, 637, -118
0.77, -84.76, 222, -16422, -1502 , -79, 678, -147
0.94, -84.47, 270, -16334, -1570 , -49, 751, -152
0.56, -84.42, 160, -16390, -1606 , -57, 836, -172
0.58, -83.91, 166, -16408, -1756 , -87, 946, -199
0.57, -83.72, 164, -16436, -1814 , -106, 1059, -238
0.64, -83.63, 184, -16474, -1842 , -119, 1180, -302
0.73, -83.43, 212, -16506, -1902 , -129, 1286, -395
0.35, -83.64, 102, -16464, -1846 , -130, 1319, -457
0.01, -84.39, 4, -16642, -1646 , -158, 1316, -513
-0.46, -84.43, -134, -16708, -1636 , -123, 1274, -546
-0.97, -84.63, -286, -16780, -1564 , -52, 1189, -547
-1.43, -84.46, -422, -16896, -1598 , 60, 1098, -514
-2.06, -84.43, -610, -16872, -1542 , 199, 1060, -451
-2.72, -84.25, -806, -16916, -1514 , 305, 1008, -394
-3.14, -84.29, -926, -16854, -1424 , 337, 946, -325
-3.54, -84.33, -1038, -16752, -1316 , 312, 842, -260
-3.50, -84.24, -1026, -16740, -1358 , 233, 675, -195
-3.86, -84.23, -1134, -16772, -1278 , 121, 487, -168
-3.73, -83.80, -1094, -16730, -1466 , 29, 301, -135
-3.73, -83.77, -1092, -16692, -1474 , -5, 101, -95
-3.53, -83.82, -1032, -16672, -1496 , -7, -50, -53
-3.36, -83.95, -980, -16648, -1484 , 47, -209, -22
-3.42, -83.94, -1002, -16722, -1482 , 139, -413, 13
-3.28, -84.40, -968, -16836, -1352 , 227, -605, 42
-3.39, -84.15, -1000, -16846, -1424 , 331, -736, 61
-2.95, -84.25, -868, -16774, -1464 , 442, -878, 90
-2.94, -84.04, -868, -16828, -1542 , 535, -1035, 115
-2.36, -84.79, -698, -16896, -1388 , 661, -1276, 152
-2.29, -84.91, -684, -17068, -1372 , 828, -1482, 194
