Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-6.94, -81.39, -1992, -16302, 1478 , 1470, 1312, 72
-7.15, -81.75, -2044, -16268, 1200 , 1417, 1057, 140
-6.74, -82.03, -1922, -16224, 1234 , 1436, 815, 201
-6.24, -82.70, -1776, -16204, 1098 , 1463, 543, 311
-6.03, -83.06, -1714, -16212, 1002 , 1524, 206, 422
-5.10, -83.36, -1458, -16312, 1234 , 1549, -86, 552
-4.62, -83.46, -1332, -16428, 1350 , 1612, -409, 781
-4.46, -83.29, -1290, -16492, 1464 , 1707, -751, 952
-4.18, -83.79, -1206, -16466, 1342 , 1870, -1033, 1193
-3.78, -83.02, -1088, -16396, 1702 , 2011, -1236, 1413
-3.01, -82.31, -862, -16286, 2036 , 2146, -1311, 1742
-2.22, -81.82, -630, -16090, 2238 , 2200, -1276, 2047
-1.70, -80.92, -480, -15962, 2518 , 2220, -1076, 2336
-1.29, -80.99, -362, -15882, 2504 , 2288, -813, 2637
-1.07, -80.81, -302, -15918, 2570 , 2370, -500, 2902
-0.71, -81.73, -200, -15878, 2310 , 2528, -172, 3120
-0.14, -81.89, -40, -15828, 2266 , 2816, 46, 3323
-0.49, -82.09, -136, -15764, 2198 , 3163, 255, 3573
-0.60, -83.30, -166, -15688, 1846 , 3696, 445, 3807
-0.95, -83.74, -260, -15636, 1706 , 4224, 629, 4090
-0.89, -83.94, -244, -15674, 1658 , 4777, 627, 4411
-1.20, -83.42, -330, -15602, 1780 , 5307, 591, 4856
-1.00, -81.94, -272, -15476, 2186 , 5782, 494, 5239
-0.79, -80.25, -216, -15464, 2660 , 6074, 417, 5690
-0.82, -77.97, -226, -15518, 3310 , 6248, 371, 6135
-0.88, -76.30, -248, -15656, 3820 , 6271, 372, 6687
-1.71, -76.13, -488, -15880, 3902 , 6246, 525, 7105
-2.50, -77.51, -728, -16286, 3546 , 6313, 1040, 7588
-3.16, -78.44, -946, -16798, 3316 , 6465, 1879, 8092
-4.43, -74.87, -1394, -17416, 4510 , 6511, 2443, 8631
-4.70, -71.38, -1576, -18228, 5948 , 6223, 2821, 9082
-4.41, -70.50, -1516, -18588, 6420 , 5756, 3414, 9547
-3.61, -72.30, -1244, -18830, 5892 , 5455, 4000, 10168
-2.66, -73.69, -906, -18718, 5414 , 5596, 4248, 10784
-2.52, -73.88, -848, -18560, 5310 , 5975, 3622, 11304
-3.35, -76.45, -1098, -18254, 4272 , 6670, 1905, 11792
-4.60, -80.15, -1446, -17766, 2740 , 7644, -999, 12059
-7.69, -78.48, -2352, -17238, 2626 , 8646, -2709, 12153
-13.07, -70.22, -3956, -16472, 4424 , 9212, -3265, 11792
-18.70, -61.92, -5754, -15836, 6202 , 8930, -3061, 11192
-22.47, -58.06, -6866, -15250, 6590 , 8082, -2510, 10339
-23.62, -56.90, -7104, -14854, 6594 , 7336, -2018, 9594
-24.00, -56.48, -7108, -14574, 6546 , 6594, -2248, 8738
-23.19, -56.24, -6752, -14258, 6740 , 6027, -3094, 7978
-20.33, -56.78, -5928, -14280, 7244 , 5441, -3710, 7124
-17.06, -58.23, -5040, -14604, 7522 , 4726, -3844, 6507
-14.38, -61.22, -4248, -14990, 7066 , 4143, -3375, 5993
-11.96, -64.79, -3530, -15414, 6354 , 3568, -2786, 5530
-10.39, -67.71, -3094, -15872, 5736 , 3160, -2185, 5215
-9.77, -69.48, -2900, -16016, 5258 , 2783, -1724, 4935
-10.07, -69.07, -2930, -15650, 5232 , 2441, -1355, 4735
-11.39, -67.40, -3258, -15232, 5450 , 1998, -978, 4544
-12.68, -65.18, -3538, -14634, 5782 , 1434, -664, 4390
-14.84, -63.10, -3996, -13914, 5830 , 904, -463, 4230
-16.44, -61.52, -4338, -13476, 5898 , 437, -497, 4081
-17.75, -60.42, -4604, -13136, 5878 , -69, -679, 3934
-18.28, -60.56, -4724, -13118, 5714 , -444, -811, 3794
-19.00, -60.21, -4946, -13184, 5712 , -785, -859, 3627
-19.58, -60.54, -5136, -13348, 5532 , -1143, -908, 3367
-19.51, -60.30, -5212, -13560, 5728 , -1498, -1037, 3030
-18.95, -59.63, -5110, -13578, 6112 , -1793, -1458, 2691
-18.72, -58.63, -5148, -13698, 6588 , -2143, -2027, 2318
-18.53, -58.07, -5030, -13432, 6702 , -2480, -2845, 1933
-18.02, -59.07, -4796, -13298, 6376 , -2807, -3318, 1492
-17.60, -60.51, -4574, -13168, 5890 , -2976, -3535, 1183
-17.06, -60.88, -4424, -13174, 5868 , -3050, -3816, 891
-17.23, -60.21, -4492, -13162, 6062 , -3029, -4207, 693
-17.72, -60.67, -4608, -13200, 5822 , -2914, -4473, 487
-18.37, -62.04, -4714, -13214, 5208 , -2655, -4298, 203
-18.07, -62.42, -4668, -13344, 5188 , -2358, -3919, 31
-17.78, -59.78, -4694, -13284, 6162 , -2225, -3708, -133
-18.24, -57.79, -4908, -13270, 6778 , -2366, -3720, -465
-19.51, -56.71, -5152, -12896, 6730 , -2559, -3701, -775
-22.05, -57.78, -5580, -12576, 5642 , -2654, -3378, -1215
-24.82, -58.30, -6168, -12504, 4662 , -2450, -3099, -1775
-26.27, -58.55, -6578, -12682, 4126 , -2065, -3195, -2191
-26.36, -58.33, -6686, -12818, 4238 , -1474, -3700, -2608
-26.30, -57.02, -6816, -12906, 4882 , -1066, -4639, -3014
-26.36, -52.85, -6910, -12406, 6388 , -867, -5603, -3635
-26.71, -47.59, -7174, -11786, 8040 , -1004, -6619, -4282
-25.91, -43.02, -7242, -11308, 9728 , -1361, -7633, -4984
-24.23, -42.71, -6776, -11200, 10074 , -1881, -8174, -5714
-21.45, -45.50, -5970, -11648, 9776 , -2219, -7963, -6099
-18.52, -50.08, -5086, -12284, 8944 , -2418, -7118, -6322
-16.59, -53.39, -4640, -13046, 8522 , -2394, -5963, -6320
-14.89, -56.09, -4256, -13750, 8218 , -2286, -4408, -6154
-12.63, -59.64, -3744, -14776, 7814 , -2093, -2930, -5906
-9.95, -63.07, -3028, -15626, 7350 , -1819, -1311, -5444
-7.21, -66.84, -2232, -16362, 6646 , -1394, -212, -4694
-5.41, -70.02, -1694, -16892, 5914 , -1061, 653, -3941
-5.40, -71.36, -1694, -17072, 5518 , -744, 1148, -3182
-7.15, -70.01, -2216, -16742, 5686 , -493, 1436, -2419
-9.73, -67.96, -2902, -15918, 5768 , -391, 1670, -1907
-13.54, -63.27, -3868, -14760, 6358 , -447, 1813, -1658
-18.74, -58.06, -5148, -13598, 6746 , -707, 2023, -1659
-22.51, -53.97, -6126, -12940, 7156 , -1071, 2216, -1888
-23.83, -52.14, -7130, -13934, 8166 , -1559, 2082, -2582
-20.89, -55.60, -7512, -17384, 9252 , -2731, 1666, -3520
-17.13, -62.37, -6852, -20616, 8354 , -4307, 893, -4520
-11.13, -69.61, -4692, -22782, 7066 , -6021, -690, -5286
-5.07, -74.79, -2168, -23674, 6080 , -6630, -3366, -5266
0.49, -80.37, 202, -23300, 3966 , -6463, -4339, -4495
3.77, -84.30, 1446, -21868, 1656 , -5631, -3160, -3379
4.67, -84.41, 1642, -20074, 1106 , -4768, -801, -2052
1.32, -84.04, 426, -18470, 1896 , -3872, -41, -516
-3.33, -81.42, -1022, -17382, 2430 , -2880, -417, 523
-8.51, -78.05, -2440, -16136, 2408 , -2231, -977, 1143
-11.71, -75.02, -3210, -15282, 2552 , -1976, -1262, 1277
-10.16, -74.16, -2620, -14288, 3108 , -2290, -1211, 941
-5.37, -73.68, -1304, -13370, 3702 , -3129, -804, 392
5.14, -72.58, 1192, -12706, 3814 , -4131, -277, -172
11.18, -69.73, 2590, -12538, 3848 , -5104, 517, -499
11.50, -70.39, 2734, -12918, 3714 , -5619, 1323, -1001
8.89, -75.40, 2192, -13724, 2836 , -5636, 2103, -1653
4.96, -82.24, 1304, -14950, 1580 , -5214, 3032, -2391
2.86, -86.58, 806, -16126, 552 , -4793, 4758, -2875
-0.82, -89.23, -240, -16796, -14 , -4600, 6230, -3154
-5.14, -84.56, -1542, -17140, -576 , -4605, 7087, -3295
-9.53, -79.62, -2892, -17188, -1276 , -4659, 7153, -3330
-13.37, -74.69, -4054, -16920, -2266 , -4614, 6623, -3364
-15.60, -72.19, -4698, -16640, -2572 , -4405, 5744, -3407
-16.31, -71.95, -4778, -16178, -2254 , -4233, 4554, -3467
-14.52, -74.53, -4088, -15718, -1520 , -4175, 3628, -3514
