Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-13.02,-77.02,-3664,-15852,-200,417,2956,-1127
-12.51,-77.49,-3526,-15892,-284,276,3255,-1103
-12.98,-76.75,-3744,-16230,-820,317,3155,-1097
-12.94,-76.63,-3770,-16380,-1020,447,3246,-1184
-13.86,-75.9,-4090,-16570,-830,556,3314,-1315
-13.76,-75.91,-4040,-16476,-938,646,3484,-1472
-13.72,-76.11,-3970,-16256,-700,696,3480,-1641
-12.82,-76.95,-3672,-16122,-756,777,3495,-1741
-11.87,-77.7,-3408,-16196,-964,988,3454,-1743
-11.19,-78.39,-3214,-16222,-922,1146,3645,-1709
-11.13,-78.74,-3160,-16058,-550,1251,3816,-1679
-11.62,-78.05,-3286,-15972,-846,1297,3846,-1650
-11.98,-77.18,-3400,-15974,-1322,1395,3792,-1633
-12.24,-77.02,-3476,-15978,-1248,1525,3802,-1577
-12.4,-77.12,-3538,-16072,-1034,1628,3710,-1554
-12.35,-77.51,-3534,-16140,-606,1671,3702,-1553
-11.82,-77.96,-3410,-16282,-718,1753,3689,-1550
-11.12,-78.87,-3180,-16182,-298,1799,3723,-1537
-9.53,-80.51,-2722,-16230,120,1659,3738,-1465
-8.75,-81.29,-2498,-16238,76,1507,3944,-1391
-8.56,-81.07,-2446,-16238,-766,1445,4221,-1330
-9.54,-79.31,-2750,-16308,-1410,1551,4323,-1317
-10.37,-78.49,-3020,-16452,-1476,1821,4153,-1331
-10.63,-78.88,-3108,-16536,-988,2020,4419,-1374
-11.57,-78.26,-3384,-16530,-660,2113,4668,-1528
-11.61,-78.25,-3384,-16468,-596,2156,4874,-1662
-11.14,-78.53,-3236,-16426,-846,2234,4839,-1755
-10.28,-79.3,-2968,-16342,-890,2347,4876,-1787
-10.13,-79.6,-2906,-16250,-724,2379,4970,-1735
-10.39,-79.52,-2958,-16138,-482,2295,5161,-1620
-11.64,-78.34,-3362,-16322,-336,2194,4813,-1459
-12.07,-77.87,-3504,-16382,-460,2061,4304,-1267
-12.09,-77.96,-3510,-16402,-64,1952,3826,-1144
