Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-7.46, -82.51, -2142, -16358, -302 , -333, 1016, -426
-7.16, -82.88, -2044, -16276, -40 , -760, 1030, -470
-6.41, -83.59, -1810, -16116, -206 , -1055, 788, -484
-4.99, -84.38, -1406, -16108, -758 , -1177, 611, -451
-3.91, -82.39, -1116, -16216, -1872 , -1119, 446, -390
-2.95, -80.32, -848, -16250, -2652 , -838, 342, -344
-3.58, -80.38, -1038, -16410, -2592 , -392, 361, -349
-4.13, -83.29, -1200, -16552, -1548 , -211, 409, -398
-5.65, -84.30, -1634, -16524, -300 , -324, 416, -477
-6.83, -82.97, -1956, -16342, -532 , -608, -171, -570
-7.95, -79.64, -2274, -16174, -1910 , -801, -1064, -693
-7.97, -76.69, -2300, -16144, -3062 , -748, -1492, -797
-7.12, -78.48, -2038, -16126, -2594 , -711, -1297, -810
-6.79, -82.08, -1914, -16040, -1168 , -948, -1058, -735
-6.94, -82.74, -1934, -15894, -642 , -1353, -1181, -666
-8.17, -81.28, -2284, -15900, -884 , -1534, -1982, -687
-8.58, -80.38, -2440, -16128, -1258 , -1505, -2694, -812
-7.06, -81.60, -2074, -16690, -1356 , -1417, -2945, -958
-5.69, -81.36, -1734, -17284, -1988 , -1258, -3335, -1037
-5.96, -77.60, -1854, -17442, -3370 , -840, -4445, -1178
-7.17, -74.74, -2226, -17208, -4148 , -105, -5973, -1376
-7.76, -74.27, -2362, -16846, -4130 , 539, -6923, -1576
-6.82, -77.39, -2016, -16582, -3128 , 992, -6665, -1616
-7.53, -79.79, -2168, -16282, -1994 , 1102, -6002, -1518
-9.01, -81.02, -2510, -15844, -154 , 741, -5192, -1386
-10.00, -79.95, -2788, -15810, 382 , 93, -4989, -1185
-9.51, -80.53, -2682, -16012, -30 , -538, -5480, -1028
-8.08, -81.86, -2362, -16638, -376 , -794, -6506, -928
-6.19, -83.72, -1854, -17108, -394 , -874, -7259, -889
-3.97, -85.85, -1216, -17520, -410 , -718, -7875, -877
-2.13, -87.50, -656, -17664, 430 , -455, -8281, -834
-0.69, -85.85, -210, -17344, 1254 , -395, -8163, -733
-0.45, -85.01, -134, -16902, 1482 , -460, -7868, -590
-0.71, -84.88, -206, -16506, 1478 , -611, -7492, -463
-1.20, -85.22, -340, -16222, 1326 , -730, -7324, -327
-2.30, -84.37, -646, -16028, 1454 , -768, -7364, -344
-3.55, -83.73, -992, -15940, 1458 , -801, -7446, -447
-5.01, -82.14, -1418, -16104, 1728 , -824, -7405, -633
-6.34, -82.12, -1800, -16162, 1348 , -808, -7305, -882
-6.91, -82.00, -1980, -16306, 1176 , -674, -7256, -1052
-6.97, -81.87, -2028, -16554, 1238 , -484, -7263, -1160
-7.11, -81.75, -2094, -16750, 1254 , -328, -7599, -1192
-9.06, -80.50, -2684, -16814, 884 , -42, -8100, -1165
-11.38, -78.63, -3390, -16848, 260 , 391, -8619, -1124
-13.88, -76.13, -4160, -16836, 298 , 764, -8646, -1069
-15.32, -74.38, -4610, -16808, 974 , 869, -8299, -992
-16.11, -73.09, -4866, -16784, 1576 , 622, -8248, -912
-16.42, -73.32, -4884, -16560, 932 , 386, -9125, -807
