Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1.26, -88.69, -366, -16590, -140 , 504, 865, -127
-1.09, -88.91, -314, -16576, -100 , 523, 825, -98
-0.98, -89.04, -284, -16648, -66 , 551, 814, -102
-0.69, -89.36, -200, -16626, -8 , 540, 853, -62
-0.62, -89.38, -180, -16614, -66 , 528, 917, -53
-0.35, -89.60, -102, -16620, -80 , 564, 929, -16
-0.39, -89.64, -114, -16552, 30 , 584, 934, -7
-0.15, -89.88, -44, -16516, 18 , 600, 912, 5
-0.25, -89.70, -72, -16608, 70 , 634, 962, 57
-0.19, -89.70, -54, -16700, 86 , 654, 1127, 97
0.03, -89.08, 10, -16704, 280 , 626, 1410, 145
0.13, -86.81, 38, -16692, 942 , 482, 1721, 216
0.36, -83.89, 104, -16588, 1784 , 101, 2149, 322
0.75, -82.62, 218, -16624, 2156 , -301, 2623, 467
2.05, -84.19, 604, -16846, 1618 , -564, 2963, 728
3.33, -86.58, 990, -17020, 280 , -680, 2877, 1035
3.67, -85.19, 1116, -17396, -966 , -591, 2164, 1310
3.57, -83.43, 1096, -17488, -1706 , -455, 1369, 1580
2.44, -81.70, 750, -17422, -2442 , -189, 779, 1776
-0.24, -82.56, -74, -17360, -2280 , 227, 189, 1896
-2.35, -85.06, -706, -17140, -1318 , 438, -202, 1888
-2.84, -87.08, -832, -16764, -246 , 317, -199, 1950
-1.82, -87.92, -524, -16472, 316 , 3, 291, 2126
0.51, -89.52, 146, -16264, 36 , -235, 722, 2382
2.80, -86.98, 796, -16304, -360 , -212, 807, 2685
5.65, -84.16, 1636, -16538, -472 , 0, 744, 2920
8.06, -81.92, 2398, -16930, -300 , 296, 878, 3047
9.66, -80.38, 2956, -17372, -94 , 536, 1247, 3110
10.92, -79.09, 3428, -17774, -292 , 706, 1771, 3150
11.60, -78.00, 3676, -17890, -1018 , 911, 2132, 3204
11.62, -76.17, 3728, -17976, -2406 , 1388, 2266, 3292
11.58, -74.34, 3744, -17970, -3388 , 2086, 2361, 3385
11.93, -73.76, 3872, -17994, -3550 , 2901, 2633, 3524
12.20, -74.62, 3914, -17868, -2994 , 3646, 2963, 3617
12.00, -75.95, 3786, -17672, -2312 , 4083, 3155, 3719
12.16, -76.19, 3794, -17492, -2050 , 4360, 3090, 3772
11.59, -76.71, 3602, -17450, -2028 , 4492, 3098, 3826
11.06, -77.60, 3438, -17510, -1762 , 4605, 3355, 3826
