Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-6.46,-82.24,-1904,-16782,-1288,520,3544,828
-6.58,-82.52,-1938,-16780,-1076,491,3568,914
-6.12,-82.35,-1794,-16676,-1362,471,3692,1051
-5.5,-82.1,-1584,-16368,-1644,506,4030,1226
-5.15,-81.95,-1452,-16034,-1756,540,4346,1527
-5.13,-82.01,-1396,-15478,-1680,512,4691,1827
-4.83,-82.69,-1288,-15178,-1474,482,5142,2182
-4.9,-81.95,-1292,-14980,-1694,398,5483,2665
-5.32,-80.93,-1406,-14990,-1950,398,5645,3094
-5.73,-80.29,-1512,-14940,-2074,459,5442,3577
-6.66,-79.59,-1768,-14998,-2128,559,5108,4151
-7.27,-79.02,-1922,-14924,-2180,701,4679,4644
-7.45,-79.48,-1978,-15012,-1978,809,4050,5139
-6.93,-80.12,-1848,-15096,-1884,875,3501,5697
-5.57,-81.68,-1504,-15342,-1680,993,3056,6182
-4.11,-83.25,-1114,-15454,-1466,1096,2655,6672
-2.42,-84.68,-664,-15648,-1310,1229,2334,7265
-1.03,-85.99,-286,-15916,-1092,1497,2059,7747
-0.51,-86.62,-146,-16232,-960,1767,1832,8199
-0.32,-87.33,-94,-16658,-784,2116,1706,8649
-0.89,-88.12,-266,-17116,-510,2567,1622,8924
-1.38,-88.41,-430,-17878,-272,2958,1528,9137
-1.67,-88.38,-542,-18604,-14,3395,1376,9279
-2.25,-87.66,-754,-19192,262,3822,1283,9347
-2.78,-86.14,-952,-19602,942,4221,1228,9353
-2.76,-85.08,-950,-19636,1414,4470,1303,9381
-2.86,-85.34,-970,-19388,1268,4711,1554,9467
-1.94,-86.1,-644,-18946,1138,5026,1934,9657
-1.39,-87.66,-444,-18286,618,5543,2509,9922
-1.38,-88.06,-428,-17756,440,5990,3230,10235
-1.96,-86.59,-590,-17238,856,6347,3628,10580
-3.28,-83.79,-958,-16664,1554,6536,3819,10927
