Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
7.09,-77.77,2056,-16296,-2888,-280,185,-25
7.26,-77.64,2102,-16264,-2892,-268,208,-50
7.47,-77.36,2162,-16264,,,,
7.09,-77.77,2056,-16296,-2888,-280,185,-25
7.26,-77.64,2102,-16264,-2892,-268,208,-50
7.47,-77.36,2162,-16236,-2946,-267,256,-36
7.39,-77.67,2130,-16194,-2842,-276,279,-64
7.52,-77.69,2176,-16260,-2818,-328,289,-75
7.47,-77.64,2156,-16204,-2836,-390,268,-91
7.53,-77.17,2170,-16162,-2986,-359,291,-100
7.64,-77.47,2208,-16216,-2864,-324,247,-104
7.54,-77.4,2176,-16186,-2904,-324,255,-91
7.6,-77.3,2194,-16190,-2928,-328,272,-78
7.63,-77.37,2212,-16260,-2910,-348,294,-84
7.77,-76.72,2246,-16182,-3104,-344,324,-65
7.72,-77.1,2242,-16282,-2994,-314,353,-49
7.8,-76.96,2264,-16250,-3022,-286,372,-48
8.01,-77.49,2326,-16308,-2786,-296,423,-43
7.83,-77.52,2274,-16296,-2814,-280,472,-32
8.02,-77.32,2334,-16320,-2850,-260,523,-29
8.04,-77.44,2340,-16342,-2804,-254,598,-32
8.01,-77.73,2334,-16368,-2702,-285,661,-19
7.46,-77.79,2168,-16332,-2806,-300,669,-29
7.66,-77.44,2224,-16300,-2886,-275,644,-14
7.76,-77.48,2244,-16234,-2836,-286,631,-26
7.31,-77.52,2104,-16148,-2902,-295,656,-40
7.26,-77.4,2098,-16208,-2968,-344,656,-54
6.91,-77.72,1996,-16228,-2930,-350,640,-69
6.85,-77.93,1972,-16184,-2858,-352,600,-85
6.73,-78.35,1944,-16244,-2740,-373,581,-91
6.63,-78.41,1912,-16228,-2738,-412,526,-95
6.54,-78.31,1882,-16194,-2788,-431,509,-105
6.44,-78.23,1862,-16268,-2848,-454,488,-103
6.29,-78.28,1834,-16386,-2876,-465,496,-108
6.55,-78.26,1904,-16346,-2828,-472,518,-100
6.45,-78.45,1880,-16410,-2790,-455,453,-106
6.45,-78.05,1880,-16386,-2928,-444,406,-110
6.71,-78.03,1948,-16326,-2876,-392,392,-98
6.39,-77.96,1850,-16262,-2946,-388,366,-95
6.61,-78.03,1912,-16264,-2884,-359,360,-86
6.61,-77.86,1916,-16274,-2944,-348,311,-95
6.89,-78.04,1986,-16200,-2812,-363,273,-92
6.98,-78.4,2016,-16248,-2670,-356,253,-81
6.99,-78.2,2020,-16252,-2742,-381,251,-101
7.25,-77.93,2096,-16240,-2782,-406,250,-108
7.17,-77.75,2072,-16236,-2866,-409,248,-106
7.36,-77.68,2126,-16216,-2848,-425,244,-102
7.25,-77.9,2098,-16256,-2798,-497,256,-100
7.13,-77.8,2062,-16246,-2858,-541,280,-92
6.98,-77.42,2024,-16256,-3024,-559,291,-84
7.13,-77.02,2066,-16228,-3132,-478,304,-79
7.29,-77.49,2114,-16274,-2940,-465,323,-82
7.31,-77.42,2112,-16200,-2948,-477,334,-73
7.14,-77.56,2064,-16220,-2936,-541,341,-79
7.59,-77.25,2202,-16276,-2966,-514,323,-80
7.35,-77.15,2132,-16244,-3046,-484,313,-96
7.4,-77.57,2156,-16352,-2904,-471,323,-109
7.26,-77.31,2108,-16290,-3016,-474,392,-138
7.09,-77.66,2062,-16326,-2932,-476,407,-152
7.24,-77.93,2098,-16294,-2798,-508,369,-187
6.9,-78.01,1994,-16230,-2826,-559,337,-192
6.72,-77.86,1938,-16198,-2910,-619,330,-212
6.58,-77.5,1896,-16168,-3054,-652,291,-222
6.57,-77.48,1894,-16164,-3062,-639,252,-226
6.36,-77.65,1840,-16234,-3054,-656,189,-234
6.33,-77.41,1832,-16230,-3140,-676,108,-240
6.15,-77.32,1774,-16168,-3188,-652,68,-254
6.13,-77.52,1772,-16210,-3134,-595,6,-242
5.95,-77.39,1722,-16212,-3204,-549,-51,-234
6.26,-77.45,1810,-16218,-3138,-521,-72,-236
6.37,-77.13,1850,-16252,-3232,-500,-146,-248
6.29,-77.65,1822,-16254,-3072,-447,-198,-227
6.23,-77.62,1818,-16356,-3110,-395,-244,-223
6.16,-77.41,1788,-16272,-3176,-361,-254,-213
6.28,-77.85,1824,-16304,-3014,-382,-295,-224
5.9,-77.75,1714,-16298,-3108,-394,-360,-213
6.21,-77.42,1808,-16324,-3176,-379,-432,-217
6.18,-77.37,1798,-16310,-3194,-349,-463,-206
5.92,-77.45,1712,-16218,-3192,-339,-503,-197
5.8,-77.6,1684,-16274,-3170,-318,-587,-220
6.05,-77.01,1760,-16290,-3332,-310,-619,-224
5.79,-77.46,1680,-16262,-3216,-272,-680,-222
1-77.04,2290,-16252,-2970,-22,386,116,
48,-3096,-100,383,96,,,
8.2,-76.69,2386,-16280,-3038,-51,396,95
7.9,-77.04,2290,-16252,-2970,-22,386,116
8.16,-76.81,2360,-16200,-2990,-47,409,110
