Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-2.25, -86.69, -640, -16262, 706 , -82, -722, 642
-1.99, -87.05, -562, -16174, 632 , -104, -675, 670
-1.40, -87.35, -394, -16162, 650 , -69, -735, 710
-1.76, -86.59, -502, -16286, 846 , -70, -787, 736
-1.73, -86.85, -496, -16424, 772 , -50, -773, 735
-1.37, -86.98, -392, -16384, 786 , -58, -757, 747
-0.80, -87.07, -228, -16376, 820 , -17, -740, 821
-0.20, -86.98, -58, -16424, 878 , -5, -695, 893
-0.07, -87.10, -20, -16358, 840 , 19, -619, 963
0.41, -86.97, 116, -16288, 866 , -3, -485, 1009
0.86, -86.71, 244, -16286, 916 , -26, -414, 1008
0.93, -86.91, 264, -16248, 850 , -24, -330, 995
1.01, -87.06, 288, -16298, 798 , 22, -223, 964
0.99, -86.59, 282, -16278, 942 , 60, -61, 946
0.86, -85.33, 248, -16382, 1328 , 12, 39, 907
-0.02, -84.21, -6, -16342, 1668 , -116, 248, 846
-0.13, -86.29, -38, -16412, 1076 , -229, 618, 794
-0.33, -87.55, -96, -16536, 714 , -188, 950, 779
0.10, -87.33, 28, -16740, 794 , -157, 992, 799
-0.39, -85.92, -114, -16738, 1202 , -206, 970, 802
-0.76, -85.24, -222, -16600, 1376 , -424, 1042, 751
-0.57, -86.03, -166, -16532, 1148 , -575, 1234, 683
-0.70, -87.60, -202, -16488, 674 , -652, 1476, 685
-1.02, -88.49, -294, -16528, 338 , -641, 1798, 663
-1.71, -88.17, -494, -16540, 220 , -711, 2083, 658
-2.38, -87.37, -680, -16344, 344 , -854, 2060, 650
-2.14, -87.71, -608, -16288, 266 , -1029, 1849, 608
-2.36, -87.61, -670, -16236, 168 , -1161, 1702, 569
-2.13, -87.88, -606, -16324, 110 , -1205, 1725, 550
-1.80, -88.10, -512, -16260, -206 , -1225, 1876, 511
-1.43, -88.19, -408, -16332, -338 , -1192, 1870, 562
-1.26, -88.34, -358, -16336, -328 , -1171, 1713, 605
-1.61, -88.00, -466, -16604, -368 , -1154, 1495, 595
-1.84, -87.57, -540, -16774, -484 , -1105, 1331, 538
-2.09, -86.61, -622, -17024, -812 , -1003, 1416, 497
-1.51, -86.14, -452, -17116, -1078 , -838, 1586, 493
-0.75, -86.77, -224, -17142, -954 , -675, 1699, 519
-0.09, -87.53, -28, -17078, -750 , -625, 1707, 550
0.63, -87.43, 186, -17034, -754 , -585, 1723, 590
1.44, -86.98, 428, -17006, -802 , -545, 1885, 637
1.87, -86.71, 552, -16926, -818 , -503, 2083, 641
2.60, -86.49, 766, -16892, -718 , -472, 2374, 636
3.08, -86.32, 904, -16814, -618 , -489, 2739, 635
3.25, -86.20, 960, -16880, -604 , -511, 3166, 615
3.43, -85.87, 1012, -16898, -706 , -523, 3622, 609
3.08, -85.97, 914, -16984, -790 , -490, 4198, 544
2.41, -86.19, 720, -17118, -902 , -402, 4552, 458
2.03, -85.94, 608, -17098, -1066 , -299, 4917, 317
1.76, -85.28, 528, -17118, -1326 , -100, 5447, 188
1.70, -84.78, 512, -17146, -1494 , 48, 6000, 156
1.81, -84.62, 544, -17164, -1536 , 171, 6639, 116
1.53, -84.08, 456, -16988, -1714 , 226, 7470, 136
1.38, -84.17, 412, -17050, -1704 , 240, 8034, 171
1.37, -84.29, 408, -16972, -1660 , 220, 8404, 200
1.01, -84.38, 300, -16960, -1656 , 174, 8743, 210
1.17, -83.56, 348, -16974, -1896 , 179, 9201, 206
0.80, -83.34, 240, -17170, -2004 , 311, 9489, 200
0.48, -82.89, 146, -17192, -2152 , 452, 9847, 216
0.18, -82.98, 54, -17264, -2138 , 677, 10237, 203
-0.40, -82.50, -120, -17164, -2268 , 845, 10677, 171
-1.08, -81.87, -328, -17214, -2450 , 998, 11172, 141
-2.16, -81.53, -656, -17190, -2486 , 1131, 11591, 109
-2.37, -82.26, -718, -17222, -2242 , 1180, 11923, 96
-2.17, -83.04, -654, -17154, -2002 , 1111, 12342, 145
-1.74, -83.68, -524, -17134, -1838 , 1034, 12663, 194
-1.99, -84.51, -592, -16998, -1538 , 895, 13003, 294
-1.33, -85.14, -394, -16890, -1394 , 731, 13282, 403
-0.72, -83.70, -214, -16818, -1856 , 604, 13157, 580
-1.14, -81.29, -336, -16650, -2540 , 690, 13159, 773
-2.66, -78.60, -790, -16676, -3282 , 1037, 13312, 903
-3.80, -76.78, -1142, -16788, -3786 , 1496, 13263, 960
-4.98, -76.80, -1520, -17062, -3716 , 2004, 13141, 991
-5.43, -78.06, -1670, -17258, -3260 , 2473, 13297, 997
-5.40, -79.02, -1658, -17294, -2932 , 2675, 13825, 1031
-4.96, -79.63, -1506, -17128, -2762 , 2746, 14202, 1089
-4.04, -80.47, -1214, -16980, -2594 , 2767, 14371, 1161
-3.11, -80.37, -924, -16798, -2708 , 2846, 14545, 1214
-3.27, -80.01, -972, -16786, -2806 , 3114, 14665, 1198
-3.72, -80.03, -1102, -16756, -2744 , 3400, 14619, 1141
-4.31, -80.46, -1276, -16748, -2522 , 3639, 14833, 1075
-4.59, -80.46, -1364, -16808, -2486 , 3839, 15312, 1009
-4.79, -80.08, -1436, -16958, -2608 , 3978, 15842, 973
-4.78, -80.41, -1450, -17178, -2530 , 4174, 16174, 911
-4.62, -80.85, -1424, -17468, -2440 , 4365, 16449, 790
-4.29, -80.65, -1334, -17592, -2586 , 4550, 16630, 630
-4.28, -79.86, -1334, -17586, -2864 , 4851, 16736, 500
-4.04, -79.75, -1250, -17474, -2916 , 5098, 16871, 360
-4.26, -79.80, -1296, -17194, -2824 , 5291, 17000, 249
-4.21, -80.64, -1266, -17004, -2514 , 5418, 17021, 87
-4.17, -81.47, -1230, -16716, -2198 , 5438, 17059, -64
-4.20, -82.37, -1230, -16648, -1876 , 5458, 17198, -283
-4.23, -83.20, -1216, -16382, -1544 , 5402, 17172, -388
-3.32, -83.69, -942, -16164, -1534 , 5377, 17081, -409
-3.17, -82.78, -880, -15800, -1812 , 5347, 17097, -314
-3.22, -81.14, -874, -15384, -2246 , 5337, 17177, -141
-3.54, -80.40, -950, -15172, -2396 , 5368, 17149, 38
-4.26, -79.28, -1156, -15292, -2666 , 5412, 17011, 355
-4.87, -78.10, -1376, -15856, -3056 , 5507, 16737, 690
-5.79, -77.46, -1716, -16600, -3284 , 5686, 16293, 1062
-7.75, -76.69, -2382, -17198, -3314 , 5954, 15887, 1476
-9.56, -76.27, -2966, -17360, -3048 , 6245, 15407, 1788
-10.93, -76.38, -3348, -17172, -2492 , 6467, 14996, 2177
-11.68, -76.48, -3478, -16708, -2032 , 6713, 14636, 2547
-11.99, -76.98, -3496, -16398, -1502 , 6839, 14459, 2898
-12.09, -77.18, -3426, -15958, -1234 , 6818, 14420, 3182
-11.42, -78.24, -3208, -15866, -834 , 6707, 14410, 3254
-9.93, -79.99, -2786, -15908, -440 , 6601, 14365, 3101
-7.39, -82.65, -2102, -16210, 96 , 6536, 14413, 2847
-3.51, -86.30, -1012, -16510, 376 , 6546, 14645, 2408
