Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-4.42, -84.24, -1270, -16392, 1080 , 514, -907, -97
-4.60, -84.61, -1322, -16432, 832 , 608, -1271, -14
-5.09, -84.41, -1474, -16526, 696 , 771, -1559, 110
-4.90, -84.61, -1426, -16616, 682 , 898, -1889, 262
-5.00, -84.32, -1464, -16712, 812 , 1077, -2197, 438
-4.79, -84.10, -1402, -16720, 1030 , 1223, -2498, 623
-4.60, -83.62, -1350, -16718, 1310 , 1374, -2781, 838
-4.01, -83.36, -1184, -16808, 1572 , 1544, -2938, 1121
-3.61, -82.53, -1078, -16980, 1964 , 1754, -2998, 1416
-3.52, -81.75, -1062, -17116, 2258 , 1914, -2943, 1704
-3.63, -80.98, -1108, -17308, 2528 , 2045, -2768, 2011
-3.25, -80.27, -994, -17314, 2810 , 2206, -2564, 2293
-2.98, -80.14, -910, -17256, 2872 , 2383, -2373, 2581
-2.95, -80.52, -900, -17272, 2752 , 2586, -2245, 2892
-2.66, -80.80, -818, -17394, 2708 , 2921, -2272, 3247
-3.11, -81.37, -964, -17584, 2502 , 3352, -2476, 3678
-3.97, -81.74, -1236, -17686, 2264 , 3872, -2772, 4253
-4.39, -81.65, -1378, -17802, 2236 , 4655, -2965, 4690
-4.71, -81.29, -1472, -17716, 2294 , 5328, -2996, 5093
-5.52, -80.29, -1720, -17644, 2496 , 5991, -2841, 5525
-6.58, -78.84, -2036, -17444, 2790 , 6339, -2582, 5862
-7.46, -77.07, -2328, -17484, 3284 , 6531, -2515, 6125
-8.34, -76.99, -2640, -17746, 3152 , 6626, -2656, 6481
-9.19, -77.42, -2960, -18098, 2766 , 6790, -3003, 6757
-9.80, -76.96, -3222, -18442, 2824 , 6934, -3440, 7059
-10.32, -75.74, -3416, -18486, 3246 , 7022, -4040, 7330
-10.17, -73.03, -3368, -18250, 4450 , 6948, -4667, 7679
-9.39, -70.30, -3114, -17966, 5644 , 6701, -5141, 8212
-8.47, -68.78, -2756, -17454, 6206 , 6533, -5771, 8830
-5.92, -69.63, -1878, -17062, 6064 , 6549, -6328, 9581
-4.78, -71.30, -1454, -16530, 5416 , 6802, -7254, 10548
-4.75, -75.73, -1366, -15978, 3840 , 7208, -9175, 11328
-6.52, -82.26, -1772, -15476, 1152 , 8000, -11313, 12128
-8.08, -81.97, -2130, -15016, 24 , 8841, -13649, 12513
-11.09, -78.74, -2852, -14552, 572 , 9337, -14989, 12756
-13.13, -74.02, -3272, -13848, 2256 , 9189, -15661, 12729
-14.03, -68.75, -3432, -13196, 3826 , 8559, -16036, 12647
-13.94, -66.62, -3278, -12496, 4306 , 7656, -16431, 12289
-13.54, -65.76, -3094, -12056, 4470 , 6966, -16927, 11859
-13.96, -65.44, -3154, -11890, 4434 , 6335, -17275, 11334
-14.69, -63.00, -3418, -12014, 5088 , 5765, -17465, 10504
-14.04, -61.27, -3416, -12350, 5856 , 4800, -17251, 9666
-13.07, -59.69, -3310, -12640, 6616 , 3601, -16554, 8613
-11.92, -60.03, -3128, -13124, 6900 , 2082, -15555, 7739
-10.98, -60.99, -2944, -13516, 6902 , 787, -14256, 6692
-10.28, -62.53, -2798, -13908, 6678 , -567, -13254, 5832
-10.88, -62.30, -3024, -14186, 6816 , -1605, -12111, 4937
-12.30, -62.06, -3448, -14302, 6768 , -2841, -11607, 3952
