Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
1.71, -81.86, 492, -16352, -2298 , -6404, 7868, -2960
0.91, -81.55, 264, -16510, -2450 , -6427, 8221, -3074
1.39, -81.28, 406, -16582, -2524 , -6365, 8352, -3212
1.31, -80.75, 388, -16730, -2708 , -6262, 8440, -3363
1.03, -80.42, 306, -16770, -2826 , -6176, 8556, -3539
-0.11, -80.15, -34, -16816, -2932 , -6064, 8501, -3795
-0.23, -79.02, -68, -16830, -3278 , -5849, 8313, -3971
-0.63, -78.75, -188, -16792, -3346 , -5647, 8036, -4154
-1.48, -79.02, -440, -16726, -3228 , -5546, 7672, -4345
-4.92, -77.94, -1450, -16554, -3240 , -5511, 6926, -4633
-1.02, -78.02, -296, -16276, -3452 , -5410, 6097, -4713
0.15, -78.13, 42, -15820, -3336 , -5365, 5607, -4820
-0.21, -78.37, -58, -15458, -3192 , -5407, 5242, -4980
0.91, -78.09, 246, -15242, -3216 , -5486, 5001, -5066
1.39, -77.91, 380, -15312, -3268 , -5581, 4830, -5161
1.89, -77.79, 514, -15264, -3274 , -5545, 4479, -5189
1.06, -78.38, 292, -15462, -3176 , -5521, 4315, -5279
1.64, -79.27, 454, -15580, -2928 , -5542, 4176, -5330
1.25, -80.02, 344, -15584, -2732 , -5547, 4117, -5380
1.47, -80.31, 410, -15772, -2674 , -5532, 4124, -5393
0.86, -80.49, 240, -15866, -2660 , -5386, 4077, -5370
0.63, -81.31, 178, -15978, -2448 , -5303, 4100, -5315
-0.30, -81.89, -86, -16102, -2306 , -5308, 3973, -5340
0.45, -82.77, 126, -15932, -2028 , -5337, 4068, -5417
0.86, -83.20, 240, -15950, -1900 , -5436, 4185, -5470
-1.34, -83.50, -378, -16078, -1806 , -5635, 4295, -5551
0.76, -83.01, 216, -16260, -1994 , -5793, 4606, -5582
1.16, -83.26, 340, -16672, -1954 , -5935, 4779, -5530
-3.42, -83.10, -982, -16372, -1736 , -6018, 4749, -5811
3.89, -83.91, 1124, -16500, -1370 , -6615, 5124, -5616
-3.21, -76.52, -964, -16730, -3904 , -6192, 4906, -5855
0.37, -83.56, 108, -16484, -1870 , -5927, 5092, -6245
1.63, -85.06, 442, -15458, -1272 , -6144, 4779, -6245
-0.35, -84.27, -92, -15148, -1528 , -6555, 4868, -6407
-0.34, -80.01, -94, -15474, -2734 , -6680, 4645, -6433
-1.64, -79.58, -454, -15572, -2840 , -6531, 4319, -6490
-0.53, -79.73, -146, -15420, -2800 , -6508, 4001, -6453
-1.26, -78.33, -346, -15470, -3188 , -6392, 3709, -6413
-1.62, -77.42, -452, -15620, -3468 , -6173, 3360, -6448
-1.08, -77.18, -306, -15786, -3592 , -5861, 2981, -6447
-1.69, -77.00, -480, -15892, -3648 , -5426, 2691, -6419
-0.27, -76.97, -78, -15918, -3694 , -5049, 2553, -6312
0.01, -77.02, 2, -15832, -3660 , -4680, 2579, -6197
0.04, -78.11, 10, -15662, -3310 , -4281, 2686, -6068
-0.54, -78.80, -150, -15594, -3096 , -4052, 2843, -5926
-1.42, -78.64, -398, -15788, -3158 , -3798, 3023, -5731
-1.39, -78.27, -398, -16126, -3336 , -3483, 3117, -5409
-1.54, -78.07, -452, -16514, -3472 , -3112, 3213, -5069
-1.42, -78.14, -424, -16796, -3514 , -2809, 3366, -4690
-1.02, -79.21, -306, -16936, -3226 , -2671, 3527, -4224
-0.50, -79.68, -150, -16846, -3076 , -2583, 3734, -3824
-0.68, -80.42, -202, -16756, -2832 , -2540, 3857, -3480
-0.55, -81.39, -162, -16634, -2526 , -2533, 3891, -3142
-0.06, -81.12, -16, -16462, -2584 , -2458, 3863, -2827
0.49, -79.28, 142, -16412, -3116 , -2254, 3954, -2565
0.71, -77.67, 208, -16330, -3576 , -1880, 3989, -2264
0.55, -77.70, 160, -16306, -3562 , -1468, 4186, -2071
0.20, -76.79, 60, -16344, -3848 , -1213, 4472, -1923
0.67, -76.56, 200, -16556, -3964 , -978, 4601, -1676
0.92, -77.40, 276, -16790, -3756 , -734, 4633, -1429
0.95, -79.81, 288, -17178, -3088 , -633, 4594, -1182
0.81, -83.05, 248, -17434, -2124 , -670, 4699, -932
0.37, -84.48, 114, -17552, -1706 , -675, 4938, -730
0.02, -84.44, 6, -17798, -1746 , -653, 5353, -567
-0.96, -83.27, -308, -18208, -2140 , -471, 5773, -419
-2.54, -82.26, -836, -18694, -2414 , -227, 5982, -275
-3.55, -81.24, -1192, -19044, -2696 , 7, 5920, -113
-4.25, -80.74, -1460, -19446, -2830 , 305, 5740, 90
-5.11, -80.79, -1802, -19964, -2706 , 750, 5381, 353
-5.12, -80.16, -1850, -20450, -3042 , 1217, 4930, 675
-5.35, -79.00, -1944, -20480, -3492 , 1894, 4552, 1010
-5.72, -79.18, -2068, -20376, -3316 , 2739, 4122, 1496
-5.82, -79.71, -2048, -19886, -2992 , 3402, 3677, 1967
-4.76, -80.02, -1642, -19498, -3030 , 4106, 3816, 2385
-3.16, -79.05, -1100, -19570, -3636 , 5294, 4166, 2897
-1.71, -76.45, -612, -19922, -4778 , 6615, 4774, 3515
-2.06, -74.36, -748, -20000, -5564 , 8055, 5039, 4392
-4.24, -73.46, -1528, -19810, -5696 , 9673, 5148, 5227
-6.69, -72.28, -2356, -19274, -5706 , 10802, 5000, 6170
-7.74, -72.79, -2698, -19132, -5292 , 11809, 4567, 7447
-6.70, -77.07, -2300, -19224, -3784 , 12807, 3711, 8576
-2.43, -85.69, -834, -19646, -1242 , 13572, 2108, 9646
2.46, -86.19, 874, -20296, 1052 , 14094, 618, 10843
6.64, -80.53, 2464, -21016, 2516 , 14119, -361, 11764
11.55, -76.65, 4280, -20806, 2490 , 13923, -588, 12860
14.29, -75.42, 5072, -19894, 1090 , 13803, -565, 13909
16.00, -73.91, 5420, -18896, -690 , 13879, -220, 14726
17.21, -72.10, 5616, -18066, -1632 , 13975, -125, 15510
18.98, -69.82, 6038, -17426, -2176 , 14020, -111, 16038
21.16, -68.03, 6740, -17318, -1890 , 13987, 256, 16454
20.40, -69.36, 6692, -17966, -1098 , 13638, 1007, 16601
17.39, -72.58, 5908, -18864, -528 , 12968, 1542, 16568
13.28, -76.72, 4730, -20050, -374 , 12351, 1942, 16433
9.61, -80.44, 3488, -20616, -4 , 11646, 2128, 16219
6.70, -83.32, 2458, -20932, 206 , 10888, 1905, 16064
3.56, -86.38, 1296, -20836, 324 , 10326, 1283, 15901
1.06, -88.35, 382, -20562, 474 , 9808, 416, 15722
-1.85, -86.98, -646, -20036, 858 , 9508, -615, 15584
-3.48, -85.78, -1188, -19504, 836 , 9423, -1848, 15520
-3.47, -86.25, -1146, -18914, 508 , 9739, -2590, 15661
-2.77, -86.59, -898, -18588, 674 , 9999, -3045, 15889
-3.90, -85.52, -1258, -18454, 738 , 9871, -3923, 16069
-6.24, -83.80, -2030, -18590, -94 , 9530, -5134, 15982
-6.73, -82.87, -2192, -18570, -810 , 9234, -6631, 15721
-6.85, -82.40, -2284, -18994, -1130 , 9139, -8541, 15416
-5.86, -83.84, -1930, -18792, -668 , 9068, -9992, 15116
-4.06, -85.99, -1310, -18484, 24 , 8869, -11019, 14906
-3.85, -85.76, -1204, -17902, 588 , 8583, -11592, 14632
-0.97, -86.53, -286, -16908, 998 , 8262, -11765, 14149
-0.69, -84.71, -190, -15648, 1448 , 7968, -12100, 13647
-1.39, -83.48, -356, -14636, 1646 , 7616, -12352, 13009
-1.91, -82.95, -472, -14050, 1682 , 7338, -12881, 12412
2.29, -81.92, 552, -13692, 1874 , 7058, -13293, 12070
0.93, -81.84, 224, -13598, 1946 , 6691, -13351, 11494
5.13, -79.04, 1232, -13534, 2324 , 6116, -13095, 11248
5.31, -80.97, 1298, -13846, 1790 , 5540, -12963, 10904
6.33, -80.16, 1546, -13826, 1846 , 4999, -12128, 10420
7.44, -81.54, 1812, -13854, 1000 , 4629, -11543, 9802
8.63, -80.69, 2096, -13790, 874 , 4428, -10966, 9396
9.20, -79.11, 2190, -13460, 1402 , 4118, -10445, 9057
7.73, -80.03, 1836, -13446, 1506 , 3563, -10149, 8737
5.59, -81.10, 1326, -13444, 1648 , 3054, -9958, 8474
2.00, -82.14, 460, -13072, 1754 , 2539, -9622, 8031
-0.14, -80.95, -32, -12654, 2024 , 1850, -9145, 7514
-2.44, -79.44, -532, -12306, 2240 , 1279, -8543, 6953
-3.74, -76.99, -808, -12072, 2678 , 736, -8077, 6369
-6.00, -75.13, -1294, -11964, 2910 , 95, -7713, 5679
-8.50, -73.85, -1822, -11838, 2914 , -353, -7457, 5026
-9.81, -73.16, -2082, -11702, 2876 , -767, -7150, 4322
-10.06, -73.08, -2106, -11536, 2818 , -1120, -6867, 3491
-9.83, -74.25, -2014, -11362, 2504 , -1559, -6492, 2682
-8.11, -76.27, -1596, -11000, 2172 , -1859, -5861, 1872
-6.60, -78.10, -1262, -10754, 1892 , -2181, -5223, 946
-7.27, -78.42, -1368, -10594, 1696 , -2448, -4469, 97
-9.44, -76.96, -1740, -10342, 1656 , -2701, -3942, -779
-10.77, -75.64, -1940, -10060, 1704 , -2923, -3492, -1861
-11.96, -74.96, -2156, -10048, 1638 , -3096, -3127, -2855
-13.66, -72.47, -2452, -9902, 1954 , -3182, -3049, -4133
-13.51, -70.22, -2386, -9616, 2512 , -3393, -3116, -5189
-13.82, -66.53, -2456, -9436, 3288 , -3774, -3320, -6233
-15.93, -62.64, -2828, -9154, 3808 , -4427, -3656, -7484
-16.25, -60.82, -2886, -9004, 4126 , -5097, -3786, -8654
-15.27, -59.27, -2706, -8836, 4510 , -5828, -3579, -9753
-13.95, -57.83, -2532, -8892, 4994 , -6713, -3179, -10820
-13.45, -57.19, -2570, -9286, 5414 , -7416, -2635, -11511
-14.83, -56.66, -3072, -10026, 5846 , -8129, -2379, -12168
-16.02, -57.93, -3710, -11394, 6110 , -8466, -2700, -12563
-17.05, -57.07, -4342, -12428, 6790 , -8616, -3456, -12703
-16.59, -57.65, -4668, -13812, 7412 , -8761, -4118, -12532
-16.69, -56.95, -5174, -15100, 8366 , -8987, -4301, -11839
-17.22, -58.45, -6076, -17498, 8876 , -9283, -4080, -10851
-19.16, -59.47, -7796, -20466, 9234 , -9244, -3618, -9527
-21.33, -60.76, -10206, -24486, 9176 , -8820, -2832, -7774
-21.20, -63.25, -11014, -27204, 8202 , -8452, -1523, -5894
-19.36, -67.75, -10356, -28924, 5766 , -7855, -854, -3202
-17.34, -71.21, -9344, -29684, 3888 , -6577, -1736, -793
-15.66, -72.08, -8166, -28802, 4516 , -4853, -3234, 1779
-16.93, -69.15, -8184, -26274, 5790 , -3085, -4502, 3305
-18.50, -65.65, -7988, -22940, 6654 , -2181, -5243, 4219
-20.18, -62.38, -7370, -18936, 6642 , -1735, -5374, 4063
-20.24, -59.63, -6256, -15602, 6680 , -1566, -5495, 3339
-20.56, -55.28, -5402, -12644, 6910 , -1583, -5525, 1872
-16.61, -51.20, -3666, -9996, 7160 , -1983, -4964, 450
-8.54, -55.79, -1716, -9558, 6274 , -2798, -3807, -1286
3.12, -63.60, 624, -10260, 5062 , -4252, -2294, -2867
11.59, -70.92, 2538, -11946, 3272 , -5562, -1311, -4096
