Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
2.08, -87.95, 600, -16538, -76 , -18, -1212, 420
2.41, -87.63, 690, -16432, -74 , -57, -1185, 444
2.80, -87.18, 800, -16368, -172 , -104, -1146, 457
3.61, -86.42, 1030, -16340, -98 , -174, -1068, 427
4.23, -85.81, 1204, -16276, -52 , -207, -867, 417
4.37, -85.44, 1238, -16198, 412 , -322, -648, 379
5.00, -83.21, 1410, -16068, 1310 , -670, -487, 355
6.29, -82.31, 1758, -15914, 1254 , -1252, -380, 367
6.70, -83.24, 1882, -16034, 344 , -1539, -107, 407
5.28, -84.73, 1508, -16316, -156 , -1529, -24, 359
2.90, -86.43, 836, -16504, -622 , -1350, -265, 176
1.44, -87.30, 418, -16606, -676 , -1142, -124, -42
0.38, -87.90, 108, -16474, -606 , -1045, 274, -112
-1.41, -87.66, -400, -16268, -548 , -1006, 435, -50
-2.27, -86.44, -634, -15994, -782 , -1075, 481, 49
-2.17, -83.92, -608, -15950, -1600 , -851, 579, 140
-2.30, -82.31, -656, -16200, -2098 , -376, 215, 172
-2.78, -82.56, -804, -16472, -2008 , -44, -281, 103
-3.03, -83.69, -880, -16550, -1620 , 41, -715, 13
-3.67, -85.00, -1044, -16250, -984 , -186, -1160, -81
-4.01, -84.99, -1120, -15954, -860 , -612, -1507, -120
-3.63, -85.76, -1008, -15872, -630 , -935, -1855, -53
-3.28, -85.85, -922, -16092, -738 , -1248, -2450, -6
-3.45, -84.33, -990, -16360, -1304 , -1473, -3041, 0
-3.57, -83.22, -1048, -16698, -1702 , -1477, -3221, -130
-1.91, -84.91, -574, -17196, -1434 , -1254, -3171, -210
-1.24, -86.49, -378, -17432, -1016 , -1083, -3359, -239
-1.47, -84.92, -444, -17264, -1482 , -937, -3658, -314
-2.21, -83.41, -662, -17036, -1866 , -706, -3789, -440
-1.89, -85.72, -554, -16774, -1140 , -504, -3878, -493
-2.17, -87.70, -630, -16630, -260 , -480, -4459, -578
-2.09, -87.90, -610, -16710, -140 , -436, -4851, -715
-1.46, -88.58, -430, -16878, -32 , -326, -5042, -855
-0.86, -89.03, -254, -17002, 164 , -265, -5293, -1003
-0.18, -88.86, -52, -16944, 348 , -256, -5417, -1037
0.44, -87.89, 128, -16740, 618 , -332, -5142, -981
0.40, -87.74, 116, -16530, 656 , -384, -4643, -793
0.25, -87.67, 72, -16428, 676 , -378, -4611, -549
-0.87, -86.86, -252, -16542, 886 , -387, -4791, -308
-2.14, -86.06, -626, -16724, 982 , -368, -4819, -173
-3.66, -85.38, -1090, -17004, 860 , -244, -4964, -58
-4.49, -85.06, -1352, -17228, 658 , -1, -5172, 65
-4.27, -85.29, -1294, -17330, 634 , 270, -5107, 260
-3.87, -83.91, -1170, -17262, 1440 , 405, -5084, 472
-4.00, -84.45, -1194, -17044, 1168 , 423, -5453, 658
-3.63, -86.41, -1076, -16950, -42 , 699, -5759, 701
-4.40, -85.50, -1296, -16852, -342 , 1122, -5833, 622
-5.30, -84.72, -1550, -16716, 164 , 1303, -5884, 528
-6.91, -82.95, -2006, -16552, 466 , 1214, -5991, 434
-7.90, -82.14, -2256, -16276, 88 , 985, -5870, 285
-9.34, -80.59, -2660, -16178, -422 , 865, -5823, 124
-10.49, -79.35, -2998, -16182, -592 , 819, -6079, -44
-11.77, -78.00, -3378, -16204, -736 , 705, -6607, -267
-12.07, -77.16, -3472, -16190, -1288 , 557, -6733, -460
-12.33, -76.68, -3564, -16252, -1484 , 411, -7012, -598
-12.18, -76.59, -3500, -16136, -1626 , 275, -7607, -693
-11.85, -76.78, -3406, -16158, -1700 , 124, -8166, -827
-11.62, -77.12, -3334, -16144, -1612 , -81, -8683, -982
-11.25, -78.00, -3244, -16270, -1232 , -286, -9087, -1157
-9.93, -79.38, -2878, -16414, -1124 , -523, -9342, -1356
-8.80, -79.20, -2570, -16510, -1842 , -609, -9704, -1459
-8.09, -78.72, -2408, -16794, -2344 , -508, -10126, -1592
-7.69, -79.20, -2306, -16942, -2280 , -338, -10446, -1752
-6.98, -79.42, -2110, -17084, -2410 , -230, -10738, -1885
-6.04, -79.10, -1828, -17078, -2748 , -60, -11042, -1969
-4.86, -78.83, -1472, -17046, -3040 , 252, -11307, -1986
-3.96, -79.00, -1196, -16994, -3092 , 611, -11551, -1901
-2.37, -79.44, -718, -17046, -3108 , 934, -11699, -1744
-0.67, -81.01, -204, -17128, -2714 , 1217, -11705, -1542
0.97, -81.92, 296, -17282, -2448 , 1393, -11767, -1267
2.33, -82.99, 716, -17494, -2042 , 1560, -11742, -984
2.87, -83.69, 882, -17530, -1740 , 1704, -11705, -704
2.44, -85.01, 750, -17544, -1350 , 1875, -11405, -478
2.02, -86.24, 618, -17486, -984 , 2048, -11089, -238
1.82, -86.73, 554, -17386, -840 , 2254, -10801, 7
2.55, -85.91, 772, -17318, -984 , 2464, -10591, 258
3.51, -84.52, 1062, -17274, -1288 , 2690, -10588, 580
4.70, -82.96, 1422, -17244, -1602 , 2904, -10802, 961
4.80, -82.09, 1476, -17478, -1944 , 3201, -11200, 1221
4.31, -81.78, 1354, -17822, -2204 , 3442, -11624, 1432
2.80, -82.34, 906, -18358, -2312 , 3760, -12079, 1595
1.32, -81.81, 434, -18662, -2666 , 4130, -12114, 1635
-0.58, -81.15, -192, -18650, -2910 , 4607, -12137, 1659
-1.98, -81.02, -644, -18418, -2852 , 5351, -12598, 1672
-2.58, -82.93, -822, -18114, -2104 , 5907, -13012, 1732
-1.72, -85.63, -538, -17856, -1268 , 6393, -13209, 1867
0.10, -88.11, 30, -17768, -598 , 6591, -13225, 2050
1.58, -88.33, 492, -17890, 210 , 6709, -13138, 2291
2.71, -86.63, 866, -18266, 662 , 6837, -13139, 2567
2.94, -85.35, 966, -18750, 1198 , 7056, -13303, 2761
2.66, -83.93, 888, -19040, 1834 , 7347, -13673, 2934
1.91, -82.03, 640, -19010, 2598 , 7687, -14031, 3139
1.19, -80.32, 392, -18686, 3176 , 8084, -14229, 3365
1.42, -79.99, 464, -18420, 3230 , 8489, -14283, 3647
1.12, -80.47, 354, -17932, 3002 , 9090, -14323, 4105
1.57, -81.41, 484, -17468, 2608 , 9773, -14079, 4608
2.08, -82.91, 626, -17156, 2054 , 10550, -13595, 5211
3.18, -82.75, 930, -16640, 1914 , 11528, -13149, 5905
3.96, -81.43, 1122, -16090, 2162 , 12180, -12932, 6477
4.99, -78.97, 1384, -15612, 2724 , 12614, -13079, 7026
5.39, -77.02, 1440, -14930, 3136 , 12552, -13531, 7350
4.78, -76.54, 1238, -14458, 3242 , 12122, -13952, 7496
2.49, -75.19, 628, -13970, 3650 , 11185, -14417, 7384
-0.54, -75.41, -134, -13730, 3580 , 10100, -14848, 7035
-3.07, -74.69, -756, -13628, 3662 , 8838, -15411, 6621
-4.10, -72.63, -1022, -13658, 4158 , 7755, -16011, 6159
-4.09, -69.75, -1050, -13804, 4994 , 6411, -16231, 5697
-3.01, -66.58, -804, -14056, 6044 , 5112, -16231, 5466
-1.73, -65.38, -480, -14438, 6610 , 3745, -16136, 5543
-2.01, -66.25, -570, -14842, 6516 , 2241, -16127, 5826
-3.00, -69.39, -850, -15194, 5662 , 1150, -16182, 6249
-4.27, -73.94, -1196, -15454, 4296 , 295, -16353, 6890
-5.28, -76.60, -1460, -15452, 3390 , -486, -16724, 7558
-6.12, -77.89, -1676, -15366, 2852 , -1124, -17389, 8197
-8.39, -77.47, -2250, -15050, 2490 , -1852, -18072, 8738
-10.70, -76.28, -2788, -14594, 2234 , -2884, -18916, 8964
-12.27, -75.42, -3096, -14104, 1986 , -3878, -20140, 8892
-11.91, -76.23, -2928, -13784, 1702 , -5027, -21398, 8732
-8.82, -79.07, -2134, -13668, 1572 , -5938, -22859, 8543
-4.82, -82.08, -1164, -13714, 1524 , -6889, -23846, 8364
-1.08, -82.94, -266, -14050, 1730 , -7567, -24494, 8190
2.12, -81.67, 544, -14548, 2070 , -8108, -24561, 7840
3.68, -81.11, 996, -15322, 2192 , -8545, -24218, 7353
4.63, -80.62, 1308, -15978, 2306 , -8729, -23418, 6745
8.75, -78.41, 2562, -16512, 2232 , -8818, -22671, 6228
9.84, -78.04, 2954, -16910, 2050 , -8796, -21750, 5907
10.60, -78.55, 3224, -17190, 1344 , -8585, -20846, 5641
11.17, -78.86, 3434, -17406, 220 , -8044, -19730, 5474
11.34, -78.21, 3528, -17574, -1054 , -7238, -18519, 5371
11.45, -77.54, 3558, -17506, -1548 , -6001, -17728, 5297
10.73, -78.31, 3268, -17198, -1438 , -4896, -17010, 5279
8.14, -81.32, 2386, -16664, -914 , -3738, -16321, 5295
4.82, -84.90, 1346, -15968, -500 , -3032, -15393, 5305
0.96, -88.81, 258, -15374, -208 , -2643, -14653, 5303
-2.06, -87.73, -536, -14908, 276 , -2528, -14380, 5281
-4.91, -84.46, -1254, -14582, 678 , -2694, -14805, 5215
-6.41, -82.65, -1614, -14340, 924 , -3150, -15442, 5169
-5.92, -83.73, -1472, -14200, 546 , -3604, -16088, 5247
-4.66, -85.32, -1156, -14174, -192 , -3971, -16302, 5371
-1.20, -86.73, -300, -14250, -770 , -4154, -16037, 5505
2.01, -86.15, 502, -14276, -832 , -4154, -15455, 5588
5.77, -84.09, 1434, -14196, -370 , -4122, -15001, 5561
10.90, -79.05, 2696, -14002, 350 , -4254, -14674, 5467
14.99, -74.80, 3680, -13734, 672 , -4397, -14074, 5307
17.77, -72.00, 4346, -13548, 752 , -4568, -13151, 4870
18.39, -71.09, 4646, -13934, 1132 , -4684, -12146, 4343
18.61, -71.42, 4978, -14786, 184 , -4717, -11579, 3686
16.64, -73.36, 4854, -16244, -340 , -4589, -10588, 3219
13.71, -74.59, 4348, -17688, -2236 , -4411, -8546, 2848
9.04, -75.08, 3118, -19178, -4064 , -3599, -6277, 2370
6.16, -76.89, 2280, -20700, -4266 , -2793, -4251, 1941
4.68, -78.95, 1790, -21560, -3830 , -2029, -3209, 1362
3.72, -83.80, 1464, -22450, -1974 , -1288, -3242, 670
3.40, -84.82, 1366, -22968, 1594 , -1013, -4035, -301
6.57, -79.42, 2662, -22892, 3368 , -1396, -4402, -1471
9.86, -78.24, 3828, -21882, 2500 , -2309, -4907, -2338
10.03, -80.01, 3626, -20508, -20 , -2748, -5978, -3032
5.79, -82.20, 1954, -19188, -1780 , -2479, -6374, -3546
-0.05, -83.67, -16, -18280, -2040 , -1965, -5756, -3583
-7.35, -81.09, -2332, -18006, -1616 , -1688, -5457, -3252
-14.13, -75.64, -4464, -17726, -882 , -1893, -6361, -2663
-17.26, -72.72, -5322, -17130, 440 , -2533, -7989, -2101
-18.16, -70.57, -5364, -16234, 2038 , -3260, -9421, -1509
-17.98, -68.32, -4972, -14974, 3290 , -4045, -11188, -1131
-13.96, -70.75, -3626, -14190, 3392 , -4502, -12506, -882
-9.63, -77.32, -2394, -13964, 2052 , -4384, -13453, -735
-5.52, -82.37, -1394, -14370, 1342 , -3950, -13774, -493
-4.56, -83.61, -1206, -15086, 1198 , -3561, -13540, -204
-7.37, -79.69, -2066, -15860, 2032 , -3662, -12882, -107
-9.95, -77.07, -2914, -16436, 2416 , -4140, -12050, -192
-11.50, -77.24, -3464, -16948, 1684 , -4395, -11713, -370
-12.75, -76.45, -3908, -17222, 1438 , -4078, -12137, -672
-12.23, -76.53, -3762, -17278, 1756 , -3418, -12092, -1032
-11.14, -76.44, -3380, -17010, 2346 , -3016, -12077, -1286
-9.49, -77.58, -2788, -16520, 2356 , -2743, -12035, -1393
-8.21, -78.86, -2320, -15948, 2134 , -2631, -11487, -1311
-8.05, -80.43, -2232, -15722, 1450 , -2515, -11265, -1113
-8.88, -80.04, -2450, -15638, 1266 , -2435, -11377, -923
-10.76, -78.65, -2992, -15712, 1030 , -2491, -11414, -825
-12.24, -76.72, -3424, -15720, 1458 , -2650, -11342, -867
-13.18, -75.34, -3676, -15608, 1800 , -2918, -11308, -913
-12.96, -76.05, -3624, -15686, 1458 , -3208, -11384, -926
-13.18, -76.57, -3724, -15886, 786 , -3304, -11693, -924
-13.71, -76.20, -3940, -16152, 552 , -3297, -12092, -1031
-13.93, -75.99, -4052, -16342, 540 , -3301, -12213, -1193
-13.44, -76.42, -3938, -16474, 656 , -3350, -12641, -1433
-12.40, -77.57, -3604, -16394, 378 , -3391, -12794, -1605
-11.20, -78.83, -3232, -16326, -166 , -3309, -12878, -1751
-8.75, -81.27, -2534, -16462, -190 , -3196, -12877, -1860
-7.58, -82.42, -2204, -16564, -236 , -3196, -12594, -1936
-8.32, -81.41, -2442, -16690, -678 , -3215, -12053, -2040
-8.56, -80.46, -2540, -16826, -1270 , -3025, -12059, -2154
-8.77, -80.51, -2598, -16806, -1104 , -2742, -12069, -2191
-9.00, -80.18, -2664, -16790, -1194 , -2503, -12058, -2215
-9.40, -80.25, -2762, -16670, -804 , -2371, -12003, -2200
-10.37, -79.21, -3012, -16446, -908 , -2349, -11812, -2197
-10.40, -78.02, -3006, -16292, -1732 , -2226, -11794, -2196
-10.13, -77.11, -2928, -16228, -2302 , -1897, -12058, -2180
-10.19, -76.90, -2990, -16470, -2416 , -1555, -12099, -2158
-10.05, -77.00, -2998, -16748, -2462 , -1330, -12107, -2162
-9.96, -76.39, -3038, -17076, -2820 , -1153, -12132, -2174
-9.10, -76.28, -2800, -17200, -3148 , -897, -12328, -2220
-8.37, -76.70, -2564, -17154, -3156 , -568, -12416, -2214
-7.83, -77.95, -2370, -17026, -2770 , -304, -12681, -2199
-6.92, -80.44, -2066, -16912, -1980 , -123, -12743, -2105
-5.28, -82.87, -1576, -16992, -1446 , -92, -12246, -1969
-3.21, -83.10, -960, -17034, -1838 , -78, -12080, -1682
-3.15, -81.62, -944, -16976, -2328 , 46, -12507, -1491
-4.04, -80.01, -1206, -16878, -2732 , 182, -12870, -1478
-5.82, -78.87, -1732, -16770, -2824 , 309, -12991, -1645
