Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1.20, -87.85, -350, -16716, 536 , 204, 951, -201
-0.92, -87.75, -270, -16754, 616 , 301, 862, -217
-0.80, -87.95, -234, -16728, 564 , 411, 850, -205
-0.75, -87.91, -218, -16658, 580 , 474, 869, -193
-0.71, -87.64, -206, -16638, 668 , 539, 905, -150
-0.32, -87.27, -94, -16742, 806 , 606, 959, -101
0.12, -87.00, 34, -16686, 888 , 560, 1075, -52
-0.01, -87.34, -2, -16708, 790 , 522, 1205, 6
-0.10, -87.91, -30, -16682, 620 , 462, 1289, 22
-0.23, -88.13, -66, -16670, 554 , 469, 1255, 38
-0.01, -87.42, -4, -16716, 766 , 473, 1192, 69
0.38, -86.96, 112, -16744, 896 , 466, 1164, 85
0.73, -86.34, 214, -16728, 1062 , 409, 1255, 114
1.30, -85.87, 384, -16836, 1168 , 307, 1374, 135
1.99, -85.12, 590, -16966, 1336 , 250, 1498, 203
3.29, -83.80, 988, -17098, 1588 , 258, 1680, 262
3.92, -81.89, 1188, -17196, 2158 , 232, 1851, 317
4.92, -79.93, 1502, -17240, 2682 , 169, 2024, 348
5.65, -79.07, 1736, -17308, 2870 , 96, 2198, 363
5.46, -79.49, 1672, -17288, 2750 , 82, 2397, 377
5.56, -80.03, 1708, -17372, 2546 , 192, 2556, 433
5.65, -81.50, 1742, -17494, 1966 , 353, 2598, 538
6.27, -82.09, 1934, -17560, 1510 , 620, 2492, 724
7.20, -82.30, 2224, -17590, 882 , 925, 2240, 969
7.76, -82.15, 2394, -17576, 448 , 1309, 1739, 1236
7.88, -82.17, 2418, -17484, -54 , 1864, 1308, 1498
7.09, -82.93, 2152, -17308, -168 , 2654, 1069, 1780
6.99, -83.06, 2096, -17110, 38 , 3380, 1167, 2042
7.27, -82.39, 2154, -16884, 712 , 4023, 1752, 2390
7.10, -79.33, 2102, -16708, 2360 , 4431, 2399, 2842
7.11, -77.77, 2080, -16432, 2906 , 4643, 2977, 3168
7.34, -78.87, 2104, -16164, 2402 , 4866, 3537, 3411
5.63, -81.18, 1594, -16052, 1930 , 5092, 3980, 3438
2.47, -84.24, 696, -16096, 1480 , 5347, 4168, 3245
-0.92, -84.93, -262, -16250, 1430 , 5620, 4048, 2927
-3.08, -82.80, -888, -16408, 1888 , 5849, 3827, 2596
-3.69, -81.58, -1078, -16582, 2220 , 6102, 3576, 2289
-3.54, -79.87, -1042, -16612, 2792 , 6312, 3595, 2010
-3.45, -76.16, -1030, -16626, 3978 , 6482, 3808, 1667
-2.53, -74.52, -762, -16624, 4552 , 6591, 4174, 1293
-1.07, -74.46, -322, -16608, 4620 , 6587, 4663, 893
0.38, -76.39, 114, -16590, 4026 , 6516, 4951, 515
1.61, -78.03, 470, -16346, 3446 , 6372, 5146, 74
2.34, -78.26, 672, -16136, 3296 , 6104, 5286, -296
3.38, -77.60, 964, -15992, 3394 , 5701, 5433, -725
3.77, -75.69, 1062, -15662, 3862 , 5222, 5556, -1149
4.45, -74.69, 1234, -15360, 4032 , 4536, 5926, -1695
4.81, -73.63, 1308, -14968, 4210 , 3702, 6232, -2177
5.12, -73.36, 1368, -14698, 4186 , 3185, 6505, -2660
5.72, -74.59, 1500, -14512, 3718 , 2976, 6864, -3155
6.58, -75.42, 1706, -14406, 3348 , 3032, 7468, -3520
7.70, -75.39, 1994, -14414, 3196 , 3180, 8319, -3748
8.61, -74.92, 2226, -14354, 3174 , 3303, 8949, -3896
9.52, -73.70, 2460, -14286, 3388 , 3316, 9398, -3898
9.35, -73.52, 2388, -14106, 3436 , 3224, 9883, -3828
8.14, -73.42, 2052, -13888, 3600 , 3042, 10268, -3728
6.27, -72.91, 1548, -13546, 3878 , 2799, 10746, -3563
3.76, -71.38, 920, -13294, 4392 , 2558, 11030, -3275
1.44, -70.72, 346, -12980, 4536 , 2218, 11204, -2982
-0.82, -69.42, -198, -12932, 4860 , 1879, 11521, -2659
-3.12, -68.26, -750, -12808, 5062 , 1469, 11800, -2273
-3.95, -67.89, -946, -12726, 5092 , 899, 11932, -1912
-4.79, -67.44, -1148, -12712, 5164 , 424, 11848, -1614
-4.80, -67.74, -1150, -12734, 5092 , -8, 11738, -1297
-4.88, -68.13, -1170, -12762, 4996 , -324, 11620, -1077
-5.06, -67.39, -1262, -13222, 5370 , -505, 11611, -915
-4.04, -67.08, -1106, -14458, 6024 , -771, 11647, -717
-4.24, -70.32, -1288, -16412, 5740 , -1006, 11310, -596
-5.36, -72.50, -1844, -18824, 5656 , -904, 10000, -443
-6.56, -74.64, -2436, -20554, 5110 , -390, 8698, -8
-8.43, -74.53, -3248, -21372, 4960 , 661, 7922, 667
-10.19, -72.55, -3976, -21448, 5462 , 1297, 8019, 1510
-11.82, -70.88, -4560, -21034, 5708 , 1028, 9046, 2295
-11.95, -70.33, -4442, -20202, 5712 , -689, 9288, 2964
-9.55, -74.56, -3148, -18300, 3972 , -2667, 8308, 3310
-3.29, -85.41, -958, -16650, 952 , -3893, 6785, 3607
1.09, -88.94, 294, -15420, 52 , -3858, 4610, 3847
0.35, -87.28, 90, -14522, 696 , -3320, 2375, 3926
-2.48, -84.85, -608, -13984, 1116 , -3092, 1054, 3722
-3.19, -84.33, -770, -13792, 1146 , -3289, 770, 3187
-0.21, -86.10, -52, -14282, 984 , -3600, 975, 2537
4.94, -84.72, 1338, -15488, 542 , -3580, 1523, 1792
10.57, -79.37, 3118, -16714, 434 , -3320, 1924, 1162
15.36, -74.58, 4874, -17742, 562 , -3075, 2066, 728
16.15, -73.87, 5322, -18390, 340 , -2823, 2868, 543
14.68, -75.37, 4908, -18750, -116 , -2478, 4560, 393
12.03, -77.93, 3976, -18658, -478 , -2070, 6066, 290
9.29, -80.26, 3014, -18404, -986 , -1659, 7202, 233
7.85, -81.70, 2508, -18170, -900 , -1325, 8108, 213
6.62, -82.97, 2078, -17908, -788 , -1100, 9034, 182
4.93, -84.92, 1524, -17658, -430 , -931, 9840, 81
3.47, -86.44, 1064, -17534, -296 , -767, 10647, -43
2.39, -87.57, 726, -17376, -194 , -669, 11330, -163
1.31, -88.64, 392, -17190, -152 , -736, 11906, -212
-0.07, -89.89, -20, -17068, -42 , -979, 12368, -249
-2.51, -87.54, -738, -16860, -2 , -1326, 12650, -246
-5.97, -83.87, -1742, -16672, -460 , -1682, 12969, -275
-8.78, -80.63, -2576, -16666, -998 , -1971, 13242, -371
-10.52, -78.71, -3118, -16752, -1246 , -2118, 13272, -526
-11.29, -78.26, -3356, -16796, -1006 , -2230, 12892, -704
-11.03, -78.71, -3300, -16916, -778 , -2259, 12411, -893
-9.81, -80.07, -2924, -16908, -542 , -2311, 12312, -1059
-7.82, -82.18, -2314, -16852, -256 , -2360, 12450, -1103
-6.36, -83.67, -1872, -16808, 142 , -2500, 12617, -1083
-5.20, -84.84, -1542, -16962, 68 , -2679, 12817, -1011
-5.07, -84.97, -1508, -17010, -100 , -2698, 13142, -991
-5.44, -84.61, -1640, -17234, -26 , -2654, 13411, -986
-6.01, -84.04, -1824, -17336, -14 , -2691, 13637, -1085
-6.24, -83.61, -1906, -17444, -486 , -2743, 14062, -1219
-6.09, -82.94, -1864, -17450, -1118 , -2697, 14412, -1334
-5.51, -83.10, -1690, -17472, -1292 , -2595, 14308, -1431
-4.10, -84.60, -1234, -17200, -1078 , -2457, 14109, -1529
-3.14, -85.98, -938, -17068, -768 , -2356, 14196, -1634
-2.45, -86.65, -720, -16840, -692 , -2248, 14385, -1793
-1.98, -87.25, -576, -16676, -576 , -2079, 14760, -1944
-1.99, -87.47, -578, -16598, -474 , -1976, 15247, -2109
-2.73, -86.91, -788, -16524, -444 , -1968, 15770, -2194
-3.38, -85.79, -984, -16668, -756 , -1942, 16313, -2247
-4.37, -84.01, -1286, -16774, -1218 , -1830, 16829, -2241
-5.51, -82.41, -1630, -16832, -1560 , -1621, 17228, -2221
-7.25, -80.50, -2154, -16832, -1836 , -1379, 17239, -2216
-8.97, -79.22, -2682, -16908, -1800 , -946, 17020, -2288
-10.22, -78.73, -3074, -16994, -1448 , -543, 16851, -2395
-9.92, -79.53, -3000, -17134, -1052 , -194, 16868, -2485
