Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-15.26, -74.66, -4396, -16116, -574 , 3528, 6479, -2016
-16.20, -73.72, -4722, -16250, -578 , 3700, 6532, -1934
-16.35, -73.69, -4848, -16538, -152 , 3774, 6465, -1880
-16.14, -73.90, -4978, -17210, 72 , 3758, 6344, -1856
-16.01, -74.04, -5090, -17752, 102 , 3705, 6107, -1906
-15.88, -74.16, -5204, -18308, -156 , 3780, 5801, -1962
-15.73, -74.32, -5248, -18646, -58 , 3924, 5630, -2030
-15.95, -74.10, -5428, -19004, 36 , 4031, 5640, -2050
-16.95, -73.10, -5800, -19040, -20 , 4096, 5733, -2026
-18.21, -71.83, -6326, -19236, -132 , 4206, 5783, -1990
-18.88, -71.15, -6606, -19322, -188 , 4413, 5794, -1892
-18.94, -71.09, -6620, -19300, -274 , 4572, 5672, -1716
-17.74, -72.30, -6134, -19186, -204 , 4654, 5369, -1374
-16.68, -73.36, -5712, -19070, 14 , 4636, 4915, -1019
-15.70, -74.31, -5348, -19036, 368 , 4508, 4383, -724
-15.80, -74.24, -5368, -18974, 102 , 4333, 4155, -460
-16.05, -73.98, -5468, -19016, 214 , 4249, 4161, -344
-16.06, -73.94, -5536, -19232, 374 , 4234, 4390, -309
-16.22, -73.77, -5640, -19394, 458 , 4244, 4633, -357
-16.00, -73.97, -5638, -19662, 522 , 4380, 4848, -431
-15.69, -74.21, -5596, -19918, 744 , 4570, 5034, -526
-15.02, -74.79, -5440, -20268, 960 , 4740, 5171, -606
-14.40, -75.40, -5286, -20574, 962 , 4953, 5327, -693
-13.58, -76.19, -5086, -21036, 1020 , 5173, 5583, -714
-12.85, -76.82, -4860, -21290, 1186 , 5343, 5979, -697
-12.73, -76.74, -4850, -21428, 1464 , 5499, 6296, -597
-13.41, -76.01, -5058, -21176, 1550 , 5657, 6612, -499
-13.98, -75.23, -5196, -20802, 1798 , 5790, 6772, -339
-14.29, -74.75, -5188, -20288, 1960 , 5888, 6930, -80
-14.42, -74.59, -5110, -19794, 1952 , 5956, 7227, 236
-14.21, -74.82, -4946, -19458, 1882 , 6028, 7437, 646
-13.58, -75.50, -4636, -19120, 1754 , 6147, 7576, 1057
-12.43, -76.51, -4188, -18928, 1790 , 6280, 7641, 1486
-11.58, -77.30, -3842, -18682, 1756 , 6447, 7609, 2090
-10.38, -78.20, -3394, -18442, 1854 , 6628, 7568, 2630
-9.16, -78.94, -2924, -18030, 1988 , 6770, 7507, 3318
-8.17, -79.56, -2516, -17408, 2010 , 6953, 7408, 3976
-7.28, -80.19, -2176, -16920, 1976 , 7095, 7375, 4613
-6.84, -79.39, -1992, -16434, 2364 , 7184, 7268, 5282
-6.92, -78.48, -1966, -16004, 2618 , 7262, 7123, 5765
-7.65, -76.22, -2154, -15726, 3212 , 7261, 6990, 6179
-8.86, -72.47, -2530, -15662, 4264 , 7160, 6977, 6565
-10.70, -68.34, -3174, -15896, 5470 , 6745, 7036, 6747
-12.31, -65.46, -3862, -16478, 6468 , 6100, 7233, 6796
-14.03, -64.74, -4596, -17150, 6676 , 5265, 7588, 6766
-14.46, -64.70, -4942, -17900, 6882 , 4570, 8134, 6690
-14.57, -65.01, -5008, -18048, 6776 , 3924, 8422, 6624
-14.98, -65.10, -5020, -17622, 6472 , 3604, 8488, 6586
-14.50, -67.35, -4538, -16736, 5324 , 3553, 8514, 6664
-14.74, -69.72, -4212, -15530, 3914 , 3980, 8535, 7012
-15.41, -70.71, -4050, -14392, 3012 , 4654, 8317, 7478
-17.05, -69.91, -4242, -13590, 2608 , 5616, 8028, 8184
-19.74, -67.40, -4744, -12972, 2600 , 6454, 7792, 8830
-21.44, -64.89, -5136, -12726, 3048 , 7122, 7687, 9473
-22.07, -63.55, -5392, -12848, 3450 , 7585, 7532, 9912
-20.10, -64.65, -5074, -13348, 3790 , 7771, 7123, 10245
-17.56, -66.75, -4610, -14044, 3910 , 7901, 6716, 10541
-14.17, -70.19, -3824, -14702, 3680 , 8013, 6333, 10789
-11.92, -72.39, -3284, -15164, 3532 , 8212, 6166, 11123
-11.65, -71.92, -3228, -15200, 3782 , 8286, 6144, 11334
-14.80, -68.95, -4056, -14820, 4026 , 8232, 6191, 11478
-19.49, -64.56, -5276, -14280, 4294 , 7926, 6105, 11350
-25.21, -59.47, -6782, -13720, 4428 , 7531, 5841, 11015
-28.98, -54.17, -7930, -13270, 5396 , 6975, 5557, 10492
-30.32, -51.43, -8388, -12990, 6096 , 6364, 4918, 10166
-30.47, -50.28, -8450, -12818, 6494 , 5698, 4203, 10031
-31.21, -49.68, -8666, -12754, 6500 , 5305, 3148, 10101
-32.30, -48.44, -9058, -12684, 6684 , 5045, 2175, 10251
-33.15, -47.70, -9356, -12656, 6732 , 4832, 1146, 10366
-33.10, -47.95, -9404, -12788, 6694 , 4653, 65, 10438
-32.69, -48.69, -9248, -12864, 6518 , 4486, -734, 10526
-32.22, -49.27, -9018, -12820, 6382 , 4355, -1629, 10620
-32.46, -49.68, -9062, -12874, 6118 , 4231, -2399, 10741
-33.39, -48.97, -9338, -12800, 6092 , 4175, -3245, 10770
-35.21, -48.00, -9756, -12576, 5764 , 4077, -3876, 10674
-36.80, -46.61, -10090, -12242, 5688 , 4014, -4395, 10513
-37.23, -46.15, -10104, -12044, 5658 , 3963, -4907, 10290
-36.79, -46.19, -9718, -11710, 5652 , 3870, -5207, 9993
-35.27, -47.25, -9118, -11596, 5652 , 3783, -5421, 9791
