Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-21.75, -62.37, -5882, -14066, 4446 , -519, 1772, -4060
-21.03, -62.32, -5744, -14180, 4740 , -459, 2150, -3974
-20.56, -62.87, -5618, -14242, 4674 , -352, 2210, -3847
-19.98, -63.78, -5370, -14100, 4416 , -190, 2057, -3695
-18.80, -64.66, -5000, -14024, 4388 , -117, 1930, -3490
-17.73, -65.39, -4674, -13960, 4378 , -71, 1903, -3202
-16.81, -66.41, -4382, -13886, 4204 , -108, 1823, -2934
-15.86, -66.88, -4088, -13758, 4230 , -225, 1678, -2611
-15.12, -67.99, -3856, -13710, 3992 , -386, 1616, -2219
-14.84, -69.12, -3678, -13424, 3576 , -456, 1818, -1895
-13.50, -70.27, -3290, -13268, 3452 , -385, 2203, -1525
-12.26, -69.14, -2982, -13122, 4026 , -318, 2569, -1178
-10.94, -69.43, -2636, -13008, 4120 , -336, 2933, -804
-9.15, -70.09, -2200, -13008, 4176 , -367, 3128, -329
-8.52, -71.13, -2028, -12960, 3948 , -385, 3042, 128
-10.26, -70.94, -2402, -12746, 3702 , -376, 2798, 490
-12.70, -70.31, -2954, -12654, 3444 , -402, 2667, 698
-14.63, -70.08, -3370, -12550, 3068 , -366, 2709, 696
-16.25, -69.06, -3712, -12394, 2964 , -258, 2638, 602
-16.54, -67.53, -3782, -12280, 3404 , -178, 2302, 455
-17.01, -65.02, -3900, -12084, 4072 , -253, 1929, 241
-16.89, -63.03, -3890, -11938, 4676 , -496, 1476, 108
-15.23, -62.98, -3448, -11692, 4876 , -771, 974, 63
-14.89, -64.32, -3294, -11554, 4484 , -958, 711, 121
-14.03, -66.36, -3046, -11516, 4026 , -973, 605, 258
-15.16, -66.60, -3238, -11366, 3712 , -939, 623, 315
-17.10, -66.05, -3636, -11306, 3476 , -879, 739, 297
-19.49, -64.53, -4138, -11200, 3380 , -887, 825, 135
-22.09, -62.89, -4744, -11232, 3262 , -1023, 894, -188
-24.76, -61.08, -5418, -11326, 3146 , -1251, 920, -537
-26.95, -59.48, -6048, -11498, 3080 , -1393, 800, -1012
-28.81, -57.48, -6580, -11516, 3278 , -1527, 658, -1559
-30.60, -55.38, -6972, -11272, 3474 , -1660, 473, -1993
-31.55, -54.07, -7152, -11068, 3648 , -1778, 21, -2360
-31.54, -54.24, -6964, -10804, 3488 , -1888, -446, -2576
-30.04, -55.29, -6378, -10474, 3476 , -1957, -855, -2594
-28.19, -56.91, -5838, -10356, 3402 , -2064, -1115, -2414
